gene_symbol,mean_logfc,median_logfc,common_experiment,organism
GIMAP4,0.0567687495136989,0.0567687495136989,0.0567687495136989,human
HNRNPA1,-0.1344179863160253,-0.1344179863160253,-0.1344179863160253,human
CCDC3,0.1814783176362366,0.1814783176362366,0.1814783176362366,human
CDC42SE1,0.3498146552618024,0.3498146552618024,0.3498146552618024,human
PRDX1,-0.1773537277694048,-0.1773537277694048,-0.1773537277694048,human
HSPA4,-0.0258991401629511,-0.0258991401629511,-0.0258991401629511,human
NANS,-0.0993348025647853,-0.0993348025647853,-0.0993348025647853,human
RPL31,-0.0463066234969908,-0.0463066234969908,-0.0463066234969908,human
MFSD10,0.0238529430615799,0.0238529430615799,0.0238529430615799,human
DDX24,0.1974096106966798,0.1974096106966798,0.1974096106966798,human
MZT2B,-0.1473035179526994,-0.1473035179526994,-0.1473035179526994,human
DLL4,-0.0948803636468668,-0.0948803636468668,-0.0948803636468668,human
PLCB4,0.1132913279611473,0.1132913279611473,0.1132913279611473,human
MANF,0.0397060498134882,0.0397060498134882,0.0397060498134882,human
NACA,-0.0724485851040981,-0.0724485851040981,-0.0724485851040981,human
ASPM,-0.2729058485492398,-0.2729058485492398,-0.2729058485492398,human
PYCR1,-0.059114747024666,-0.059114747024666,-0.059114747024666,human
RPL15,-0.0379177084274529,-0.0379177084274529,-0.0379177084274529,human
ATAD2,-0.1143052642133743,-0.1143052642133743,-0.1143052642133743,human
THBD,-0.0430473364801853,-0.0430473364801853,-0.0430473364801853,human
HMGB2,-0.5186908477482934,-0.5186908477482934,-0.5186908477482934,human
RPL26,-0.0406311205400973,-0.0406311205400973,-0.0406311205400973,human
TAGLN2,0.2824914277358035,0.2824914277358035,0.2824914277358035,human
NME1,-0.2345111717681021,-0.2345111717681021,-0.2345111717681021,human
DOCK9,-0.0677802162651659,-0.0677802162651659,-0.0677802162651659,human
GABRE,-0.0163643430539873,-0.0163643430539873,-0.0163643430539873,human
H2AFY,-0.1609110790713151,-0.1609110790713151,-0.1609110790713151,human
RPS28,-0.0224600472842002,-0.0224600472842002,-0.0224600472842002,human
TCF4,-0.0197839348734829,-0.0197839348734829,-0.0197839348734829,human
MRPL41,0.0471690030087792,0.0471690030087792,0.0471690030087792,human
DLC1,0.3726903615894686,0.3726903615894686,0.3726903615894686,human
PPP1R15A,0.3169732305865303,0.3169732305865303,0.3169732305865303,human
NUP214,-0.1006054406755444,-0.1006054406755444,-0.1006054406755444,human
TPT1,0.0005348045127728,0.0005348045127728,0.0005348045127728,human
EMCN,-0.0284359813221803,-0.0284359813221803,-0.0284359813221803,human
CD53,0.1185345088461967,0.1185345088461967,0.1185345088461967,human
FBLIM1,0.1135875966402711,0.1135875966402711,0.1135875966402711,human
FN1,-0.1237145781252567,-0.1237145781252567,-0.1237145781252567,human
SLC5A3,-0.6350109187873494,-0.6350109187873494,-0.6350109187873494,human
RCC1,-0.1075160536336481,-0.1075160536336481,-0.1075160536336481,human
CRIP2,0.1667371824130828,0.1667371824130828,0.1667371824130828,human
HMOX1,-0.4606297415436311,-0.4606297415436311,-0.4606297415436311,human
MAP3K8,0.3016328040236946,0.3016328040236946,0.3016328040236946,human
KLF4,0.1800822449420614,0.1800822449420614,0.1800822449420614,human
LYPLA2,-0.0231591303143122,-0.0231591303143122,-0.0231591303143122,human
TMX1,-0.2791532973450359,-0.2791532973450359,-0.2791532973450359,human
MOB4,-0.0983689385162026,-0.0983689385162026,-0.0983689385162026,human
HDAC8,0.0468602072646363,0.0468602072646363,0.0468602072646363,human
PLEC,0.2825372936152951,0.2825372936152951,0.2825372936152951,human
RNF145,0.3189939308929282,0.3189939308929282,0.3189939308929282,human
RBP5,-0.4651709322684167,-0.4651709322684167,-0.4651709322684167,human
FSTL1,0.0554789807568396,0.0554789807568396,0.0554789807568396,human
FBXW7,-0.0038645587562116,-0.0038645587562116,-0.0038645587562116,human
TNPO3,-0.0592365916290509,-0.0592365916290509,-0.0592365916290509,human
RPS10,0.0394656259243868,0.0394656259243868,0.0394656259243868,human
TNFAIP8,0.1715263657348614,0.1715263657348614,0.1715263657348614,human
CHORDC1,-0.1928553245279672,-0.1928553245279672,-0.1928553245279672,human
ARID4B,-0.0767977327129945,-0.0767977327129945,-0.0767977327129945,human
PTPRK,0.2029470208122693,0.2029470208122693,0.2029470208122693,human
PROS1,0.0108508846919486,0.0108508846919486,0.0108508846919486,human
MCAM,0.1294585591384856,0.1294585591384856,0.1294585591384856,human
MRPL33,0.0888075783584692,0.0888075783584692,0.0888075783584692,human
TCIM,0.2321297917910261,0.2321297917910261,0.2321297917910261,human
HOXD10,0.0215540951544875,0.0215540951544875,0.0215540951544875,human
SLC25A5,-0.313111714250345,-0.313111714250345,-0.313111714250345,human
AHSA1,-0.0364906934410843,-0.0364906934410843,-0.0364906934410843,human
MALAT1,0.1692289807960865,0.1692289807960865,0.1692289807960865,human
COL18A1,0.1532199158455523,0.1532199158455523,0.1532199158455523,human
TRIM56,-0.1270800010865212,-0.1270800010865212,-0.1270800010865212,human
CD34,-0.2251729233933832,-0.2251729233933832,-0.2251729233933832,human
RPL9,0.0568346010878908,0.0568346010878908,0.0568346010878908,human
KLHL15,-0.0545339452032965,-0.0545339452032965,-0.0545339452032965,human
NDUFV2,0.2906351006522108,0.2906351006522108,0.2906351006522108,human
UBTD1,-0.0308914431336855,-0.0308914431336855,-0.0308914431336855,human
EZH2,-0.143718193700351,-0.143718193700351,-0.143718193700351,human
MTF2,-0.0189227683298345,-0.0189227683298345,-0.0189227683298345,human
TUBA1B,-0.5162185044134993,-0.5162185044134993,-0.5162185044134993,human
H2AFZ,-0.4091209585675393,-0.4091209585675393,-0.4091209585675393,human
PTPRB,0.1422291087532828,0.1422291087532828,0.1422291087532828,human
AQP1,0.2600568670385193,0.2600568670385193,0.2600568670385193,human
SRSF5,0.3481958489857651,0.3481958489857651,0.3481958489857651,human
FSCN1,-0.3318497854631057,-0.3318497854631057,-0.3318497854631057,human
CCNB1,-0.3276040727297183,-0.3276040727297183,-0.3276040727297183,human
TSPYL2,0.1644228872348097,0.1644228872348097,0.1644228872348097,human
GDF15,-0.3495855654918145,-0.3495855654918145,-0.3495855654918145,human
ABI3BP,0.0074554004956862,0.0074554004956862,0.0074554004956862,human
SERPINA3,0.5759714941182357,0.5759714941182357,0.5759714941182357,human
SUPT20H,0.0869434894250029,0.0869434894250029,0.0869434894250029,human
PTP4A3,0.0043521622594013,0.0043521622594013,0.0043521622594013,human
RCAN1,-0.054445576394682,-0.054445576394682,-0.054445576394682,human
TOP1,-0.0474557625101315,-0.0474557625101315,-0.0474557625101315,human
PPP1CB,0.4586072247988462,0.4586072247988462,0.4586072247988462,human
PLK3,0.3404458535456445,0.3404458535456445,0.3404458535456445,human
CKS1B,-0.4006826230286511,-0.4006826230286511,-0.4006826230286511,human
TRAPPC4,0.0872347057597779,0.0872347057597779,0.0872347057597779,human
EGR1,-0.0273226598755864,-0.0273226598755864,-0.0273226598755864,human
XIST,0.265900419760428,0.265900419760428,0.265900419760428,human
NCBP3,0.0570918477407091,0.0570918477407091,0.0570918477407091,human
ZC3H12A,0.3157172875897307,0.3157172875897307,0.3157172875897307,human
EEF1B2,-0.068434369872238,-0.068434369872238,-0.068434369872238,human
IL32,0.4296185254787561,0.4296185254787561,0.4296185254787561,human
CYBC1,0.0282722529266734,0.0282722529266734,0.0282722529266734,human
SERPINB6,-0.0404935425811769,-0.0404935425811769,-0.0404935425811769,human
GABARAPL2,-0.0870806785754625,-0.0870806785754625,-0.0870806785754625,human
HIVEP2,-0.0757447659721487,-0.0757447659721487,-0.0757447659721487,human
PRKD2,-0.0867168788488195,-0.0867168788488195,-0.0867168788488195,human
VIM,-0.0675709887584314,-0.0675709887584314,-0.0675709887584314,human
CLDN3,-0.251826001772274,-0.251826001772274,-0.251826001772274,human
