id,cell_type,ctrl_ids,disease_name,geo_id,organism,pert_ids,platform,version
dz:P554,Kidney|Body tissue|Cortex of Organ|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321575|GSM1321576|GSM1321577,GPL6885,2.0
dz:P557,Kidney|Body tissue|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321626|GSM1321627|GSM1321628|GSM1321665|GSM1321666|GSM1321667,GPL6885,2.0
dz:P556,Kidney|Body tissue|Cortex of Organ|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321587|GSM1321588|GSM1321589,GPL6885,2.0
dz:P559,Kidney|Body tissue|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321641|GSM1321642|GSM1321643,GPL6885,2.0
dz:P558,Kidney|Body tissue|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321629|GSM1321630|GSM1321631,GPL6885,2.0
dz:P2489,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844174|GSM844209,GPL570,2.0
dz:P2483,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844159|GSM844210,GPL570,2.0
dz:P2485,Cells|Peripheral blood mononuclear cell (cell),GSM844203|GSM844204,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844163|GSM844189|GSM844222,GPL570,2.0
dz:P2697,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983469|GSM983470,Influenza|Pneumonia|Systemic Inflammatory Response Syndrome|Inflammatory Response,GSE40012,human,GSM983570|GSM983571|GSM983572|GSM983573,GPL6947,2.0
dz:P2696,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983469|GSM983470,Influenza|Pneumonia|Systemic Inflammatory Response Syndrome|Inflammatory Response,GSE40012,human,GSM983562|GSM983563|GSM983564|GSM983565,GPL6947,2.0
