"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
3539,-0.215559478443573,0.02667,0.216051792828685,"file16e92e72185_logFC_0","CMAP","citalopram",1e-06,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","C7861","Citalopram hydrobromide [59729-32-7]","C0008845","59729-32-7","DB00215","citalopram",0.431928842293206,0,3,1
5715,-0.2575228219676,0.00325,0.0755568181818182,"file16e92e72185_logFC_0","CMAP","clindamycin",8.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","137","Clindamycin hydrochloride [21462-39-5]","C0282105","21462-39-5","DB01190","clindamycin",0.258732776399661,6.25943549297846e-199,4,1
546,-0.193865675132787,0.06759,0.357331022530329,"file16e92e72185_logFC_0","CMAP","clomifene",6.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","397","Clomiphene citrate (Z,E) [50-41-9]","APRD00880","50-41-9","DB00882","clomifene",0.18083980376727,1.68351770126791e-96,3,1
5518,-0.219340930474098,0.02228,0.196683068017366,"file16e92e72185_logFC_0","CMAP","clozapine",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","C-6305","clozapine","C0009079","NULL","DB00363","clozapine",0.537787324185924,0,16,1
4881,-0.272037675301861,0.00138,0.0537106918238994,"file16e92e72185_logFC_0","CMAP","cytisine",2.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","624","Cytisine (-) [485-35-8]","NULL","485-35-8","DB09028","cytisine",0.26239682778363,9.4821180611625e-205,3,1
2796,-0.294746093872011,0.00029,0.0254166666666667,"file16e92e72185_logFC_0","CMAP","demeclocycline",8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","753","Demeclocycline hydrochloride [64-73-3]","C0011276","64-73-3","DB00618","demeclocycline",0.452199389301184,0,5,1
5711,-0.251259874185793,0.00436,0.0863506493506493,"file16e92e72185_logFC_0","CMAP","diazoxide",1.74e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","87","Diazoxide [364-98-7]","C0012022","364-98-7","DB01119","diazoxide",0.273228630621842,1.66612863386734e-222,4,1
577,-0.218895658615606,0.02293,0.200589488636364,"file16e92e72185_logFC_0","CMAP","domperidone",7.4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","461","Domperidone maleate","C0771334","NULL","DB01184","domperidone",0.155520807476714,1.47077594538447e-71,3,1
4864,-0.224956893799611,0.01732,0.173769736842105,"file16e92e72185_logFC_0","CMAP","estradiol",1e-08,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622","NULL","DB00783","estradiol",0.359453168676898,0,36,1
5763,-0.18934208170354,0.08001,0.387333068992863,"file16e92e72185_logFC_0","CMAP","estriol",1.38e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1096","Estriol [50-27-1]","C0059648","50-27-1","DB04573","estriol",0.231275051425355,2.98406010102988e-158,3,1
3365,-0.202785626393351,0.04789,0.299505629477994,"file16e92e72185_logFC_0","CMAP","ethotoin",1.96e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","696","Ethotoin [86-35-1]","C0015046","86-35-1","DB00754","ethotoin",0.546265472520711,0,5,1
2153,-0.182308142826766,0.10272,0.44788563259471,"file16e92e72185_logFC_0","CMAP","etidronic acid",1.6e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","863","Etidronic acid, disodium salt [7414-83-7]","NULL","7414-83-7","DB01077","etidronic acid",0.258525955870285,1.32508043263028e-198,3,1
