drug_name,in_tahoe
tyrphostin AG-825,No
urapidil,No
ursodeoxycholic acid,No
ursolic acid,No
valdecoxib,Yes
valinomycin,No
valproic acid,No
vancomycin,No
vanoxerine,No
velnacrine,No
verapamil,Yes
verteporfin,Yes
vidarabine,No
vigabatrin,No
vinblastine,No
vinburnine,No
vincamine,No
vinpocetine,No
viomycin,No
vitexin,No
vorinostat,No
withaferin A,No
wortmannin,No
xamoterol,No
xylazine,No
xylometazoline,No
yohimbic acid,No
yohimbine,No
zalcitabine,No
zaprinast,No
zardaverine,No
zidovudine,No
zimeldine,No
zomepirac,No
zoxazolamine,No
zuclopenthixol,No
