"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"55667_at",1.15502214589489,7.79187860986359,7.32848958198544,5.01712602445346e-11,2.81608310205967e-10,14.7032825026396,"55667_at","DENND4C"
"1105_at",1.15480504411728,7.92731422761114,6.26800806950661,8.24527733213504e-09,2.5447681312559e-08,9.72295240380947,"1105_at","CHD1"
"301_at",1.15463934038034,9.53937954609339,4.77704208720055,5.80404960407117e-06,1.06303784057398e-05,3.37734536209467,"301_at","ANXA1"
"54845_at",1.15447560287475,8.02629899249899,6.25904591660866,8.59753575978496e-09,2.64472026585726e-08,9.68222496287925,"54845_at","ESRP1"
"310_at",1.15434912898507,9.73260391010844,8.61714096915817,7.64474388457362e-14,1.33031510381606e-12,21.0595000114118,"310_at","ANXA7"
"7718_at",1.15432256500832,5.7150690125868,6.35104841903405,5.58929876816338e-09,1.79312757975033e-08,10.1015498423023,"7718_at","ZNF165"
"9610_at",-1.15394411403847,7.80777154761667,-10.3984445282034,7.87148108001804e-18,1.02700266524261e-15,30.07371496406,"9610_at","RIN1"
"23237_at",-1.1537894946438,5.47484439374416,-4.88459884201169,3.73172879618917e-06,7.02257534783086e-06,3.80162164178378,"23237_at","ARC"
"908_at",1.15370397417721,8.96742400450575,6.9997471779304,2.51144669012981e-10,1.14652271006505e-09,13.128615671087,"908_at","CCT6A"
"151473_at",1.15346019774019,7.20036259719771,7.32019047990072,5.22675110690891e-11,2.9157072351286e-10,14.6632401353984,"151473_at","SLC16A14"
"8533_at",1.15333686157511,8.64967011661611,7.697927798871,8.00856932265765e-12,5.88752786439247e-11,16.4993532134816,"8533_at","COPS3"
"55003_at",1.15324248864485,7.88309759867869,7.9096612794739,2.76956420108229e-12,2.44007540193417e-11,17.5395153303915,"55003_at","PAK1IP1"
"6643_at",1.1531070958146,7.72226651967872,8.6417244845091,6.74191079389776e-14,1.202584747417e-12,21.1828041310083,"6643_at","SNX2"
"4296_at",-1.15271662667582,8.27498444801643,-7.88134678241101,3.19335362502798e-12,2.72893849207647e-11,17.4000069686314,"4296_at","MAP3K11"
"10939_at",1.15262386295227,8.67906195246055,10.3060658765637,1.26873330538816e-17,1.51097285044018e-15,29.6049068537766,"10939_at","AFG3L2"
"5683_at",1.15220137607066,9.09826313265093,8.43371194351583,1.94920823170528e-13,2.81974445044145e-12,20.1413052358297,"5683_at","PSMA2"
"23204_at",1.15215266477098,10.4671244631996,7.53094787485235,1.84093694878426e-11,1.19070895039144e-10,15.6843897127382,"23204_at","ARL6IP1"
"5315_at",-1.15179539732621,10.6781192874089,-6.66040860335144,1.29043519539498e-09,4.82887733695119e-09,11.5305618920075,"5315_at","PKM"
"54531_at",-1.15173671016685,7.85095293498062,-10.2885049139667,1.38926693475142e-17,1.60778214075978e-15,29.5157747067062,"54531_at","MIER2"
"7586_at",1.15157020319166,8.51056124221585,7.90446762533125,2.8428733357472e-12,2.48967154379845e-11,17.5139165608154,"7586_at","ZKSCAN1"
"22868_at",1.15078848084958,7.18582990546181,8.23616644337706,5.32097165037958e-13,6.31843450889548e-12,19.1564667965632,"22868_at","FASTKD2"
"63940_at",-1.15070728044423,7.27839726887041,-9.28947033099872,2.42094059812562e-15,8.55009434689745e-14,24.4480649914449,"63940_at","GPSM3"
"51633_at",1.15069606551148,6.51883459946041,6.83856359093008,5.48375416498932e-10,2.27525258893338e-09,12.3658287359114,"51633_at","OTUD6B"
"109729146_at",-1.1506763322613,6.94059085567298,-6.15442622822011,1.39851042682881e-08,4.09185653237557e-08,9.20875450387152,"109729146_at","POC1B-AS1"
"6383_at",1.15027474490142,8.86870606837806,7.2555139362295,7.18733391258146e-11,3.85608559102458e-10,14.351675726677,"6383_at","SDC2"
"642273_at",1.14999253838713,8.23073338230468,2.46909806033444,0.0151592162973899,0.0186734852748653,-3.97643569443715,"642273_at","FAM110C"
"1653_at",1.14927296693795,9.7300272997334,7.12005712154936,1.39667099582804e-10,6.87065530224343e-10,13.7020761155156,"1653_at","DDX1"
"23424_at",1.14923978787774,7.26467974732647,7.36291819260002,4.23298227355076e-11,2.42880697174829e-10,14.8695484175281,"23424_at","TDRD7"
"151195_at",1.14842816556826,6.89972179601299,9.32761926481907,1.98875060541359e-15,7.30063931922797e-14,24.6411378581319,"151195_at","CCNYL1"
"10434_at",1.14833992962668,9.30159805398945,5.32019614436371,5.90760472135409e-07,1.2613234845968e-06,5.57825634721589,"10434_at","LYPLA1"
"9768_at",1.14821783983671,8.59477222292025,3.75236481303628,0.000287491958955978,0.000422088968409852,-0.335551169303711,"9768_at","PCLAF"
"255189_at",-1.1481246940673,7.07126129180008,-5.40174063796115,4.14556758872834e-07,9.11428641059474e-07,5.92063442018201,"255189_at","PLA2G4F"
"55501_at",-1.14769803324715,8.12346607747887,-7.72555709901008,6.97508688939338e-12,5.23937219810539e-11,16.6346706934942,"55501_at","CHST12"
"8031_at",1.14748922571082,10.9552576739839,6.62679002677698,1.51520660508955e-09,5.57226069993793e-09,11.3739161012983,"8031_at","NCOA4"
"56034_at",1.14735880837486,8.28683899368836,4.03341519879595,0.00010453031738776,0.000161563345761026,0.619295334482825,"56034_at","PDGFC"
"2135_at",1.14721826147263,8.66237828982622,6.76160754761659,7.94414132070661e-10,3.15608593509221e-09,12.003981939321,"2135_at","EXTL2"
"339324_at",1.14692112159298,8.06728308879129,7.76422925309724,5.74742775926086e-12,4.4561056101703e-11,16.8242863063,"339324_at","ZNF260"
"8986_at",-1.14676913162894,8.68854138836298,-9.84324660283807,1.38789581288844e-16,8.88426807225211e-15,27.25540679841,"8986_at","RPS6KA4"
"10923_at",1.14660297580519,10.0805640302046,8.24280107205992,5.14486057499901e-13,6.16300140457776e-12,19.1894688832458,"10923_at","SUB1"
"53827_at",-1.14576710956719,8.53034699247442,-5.42380759820971,3.76488856278251e-07,8.34270633059682e-07,6.01378877688306,"53827_at","FXYD5"
"79586_at",-1.14549297307201,8.10102083247415,-9.17824635800196,4.29361799815558e-15,1.35726035608363e-13,23.8855432122009,"79586_at","CHPF"
"51430_at",1.1451415525047,8.12417479717335,7.2411652183844,7.7127434163288e-11,4.09932112454798e-10,14.28267436337,"51430_at","SUCO"
"81622_at",-1.14493113368797,6.96434194059594,-8.30267213746481,3.79636653678762e-13,4.81515616963205e-12,19.4875204507684,"81622_at","UNC93B1"
"148170_at",-1.1446353225455,8.76234250197173,-4.98100892176481,2.50001646064567e-06,4.82570082735261e-06,4.18693285799883,"148170_at","CDC42EP5"
"79691_at",1.14438404437726,7.06322946437248,8.82426661319794,2.64751595535933e-14,5.7754757007008e-13,22.1000156797895,"79691_at","QTRT2"
"114569_at",1.14433027672718,9.22937961058727,4.63184896348369,1.04418281368366e-05,1.8424533340939e-05,2.81424799532652,"114569_at","MAL2"
"7520_at",1.14431642872019,10.1295958892581,6.20189699863866,1.12195967337233e-08,3.35408960148261e-08,9.42313841202135,"7520_at","XRCC5"
"51397_at",1.14428546640026,8.04207780446864,7.38821071478924,3.73560623892936e-11,2.18504163901282e-10,14.9918469785519,"51397_at","COMMD10"
"113452_at",-1.14420776015341,8.42542389413235,-6.0436892674196,2.33163357318701e-08,6.5034289369775e-08,8.71164576518446,"113452_at","TMEM54"
"23165_at",1.14412405190477,7.77967996844276,7.66861812318637,9.27153100356409e-12,6.68019841987361e-11,16.3559480617265,"23165_at","NUP205"
"170463_at",-1.14406387802829,8.53540163114833,-8.63446251263479,6.99694179989414e-14,1.23876712038921e-12,21.1463743627561,"170463_at","SSBP4"
"1033_at",1.14388119441384,7.19991613824236,3.74797388453097,0.000291961723879914,0.000428160363112554,-0.350057222355961,"1033_at","CDKN3"
"26780_at",-1.1435490630253,4.74018754821508,-6.81439429459202,6.16171157192064e-10,2.52281630700025e-09,12.2520175364365,"26780_at","SNORA68"
"55333_at",1.14351648642117,7.13598311299296,6.54503111533585,2.23623496414154e-09,7.85318627515125e-09,10.9943017310838,"55333_at","SYNJ2BP"
"23059_at",1.14350310678642,7.62086576945698,9.82742261745171,1.50617340735756e-16,9.52236298651614e-15,27.1750910767774,"23059_at","CLUAP1"
