disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
EFO_0000365,colorectal adenocarcinoma,CHEMBL428647,PACLITAXEL,Structural protein,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan,Small molecule,Tubulin inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL2103875,TRAMETINIB,Unclassified protein|Enzyme,GSK-1120212|GSK1120212|JTP 74057|JTP-74057|TMT-212|TMT212|Tmt212|Trametinib,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL4297190,SURUFATINIB,Enzyme,HMPL-012|Hmpl-012|Sulfatinib|Surufatinib,Small molecule,Vascular endothelial growth factor receptor inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL601719,CRIZOTINIB,Enzyme,Crizotinib|NSC-756645|PF-02341066|PF-2341066|Pf-2341066,Small molecule,Hepatocyte growth factor receptor inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL553,ERLOTINIB,Enzyme,"CP-358,774|CP-358774|CP-35877401|Erlotinib|OSI-774|R-1415|RG-1415|Ro-508231",Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL4761468,AUMOLERTINIB,Enzyme,Almonertinib|Ameile|Amerol|Aumolertinib|EQ-143|EQ143|Egfr t790m inhibitor hs-10296|HS-10206|HS-10296|Hs 10296|Hs-10296,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1200699,DOXYCYCLINE,Enzyme,Doxiciclina|Doxirobe|Doxycycline|Doxycycline monohydrate|Doxylin|GS-3065|Supracyclin|Xyrosa,Small molecule,Matrix metalloproteinase 8 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL180022,NERATINIB,Enzyme,CDP-820|HKI-272|Neratinib|WAY-179272,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1946170,REGORAFENIB,Enzyme|Unclassified protein,BAY 73-4506|BAY 73-4506 monohydrate|BAY-73-4506|BAY-734506|Regorafenib|Regorafenib anhydrous|Regorafenib hydrate|Regorafenib monohydrate,Small molecule,Fibroblast growth factor receptor 1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1159650,CLOBETASOL PROPIONATE,Transcription factor,CCI 4725|CCI-4725|Clobecort amex|Clobetasol|Clobetasol 17-propionate|Clobetasol propionate|Dovate|GR 2/925|NSC-758634|Psorex,Small molecule,Glucocorticoid receptor agonist,Gastrointestinal|Cancer/Tumor
