disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,16,sulfapyridine,CHEMBL421,SULFASALAZINE,Enzyme,Small molecule,Arachidonate 5-lipoxygenase inhibitor,Azulfidine|Benzosulfa|NSC-203730|NSC-667219|SAS-500|Salazosulfapyridine|Salicylazosulfapyridine|Sulfasalazina|Sulfasalazine|Sulfasalazinum|Sulfasalazopyridine|Sulphasalazine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,17,ethotoin,CHEMBL1095,ETHOTOIN,Ion channel,Small molecule,Sodium channel alpha subunit blocker,Accenon|Ethotoin|Ethotoine|Etotoina|NSC-760074
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,18,etomidate,CHEMBL681,ETOMIDATE,Ion channel,Small molecule,GABA-A receptor; anion channel positive modulator,Etomidate|Etomidato|Hypnomidate|NSC-759160
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,19,colecalciferol,CHEMBL1042,CHOLECALCIFEROL,Transcription factor,Small molecule,Vitamin D receptor agonist,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)"
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,22,diphenylpyraline,CHEMBL1492,DIPHENYLPYRALINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,Difenilpiralina|Diphenylpyraline
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,23,clozapine,CHEMBL42,CLOZAPINE,Membrane receptor,Small molecule,Dopamine D2 receptor antagonist,Clozapina|Clozapine|Clozapine (caraco)|Clozapine (clozaril)|Clozapine (fazaclo)|Clozapine (ivax)|Clozapine (mylan)|Clozapine (teva)|Clozapine (udl)|Clozapine (versacloz)|Clozapine resolution mixture|HF 1854|HF-1854|Leponex|NSC-757429
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,24,prilocaine,CHEMBL1194,PRILOCAINE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,ASTRA-1512|ASTRA-1515|Citanest|NSC-40027|Prilocaina|Prilocaine|Propitocaine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,27,fluphenazine,CHEMBL726,FLUPHENAZINE,Membrane receptor,Small molecule,Dopamine D2 receptor antagonist,Flufenazina|Fluphenazine|NSC-62323|Permitil|Prolixin
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,28,metaraminol,CHEMBL1201319,METARAMINOL,Membrane receptor,Small molecule,Adrenergic receptor alpha-1 agonist,Metaraminol
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,32,budesonide,CHEMBL1370,BUDESONIDE,Transcription factor,Small molecule,Glucocorticoid receptor agonist,Budesonida|Budesonide|MAP-0010|MAP0010|NSC-757788|R01AD05|S-1320
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,33,haloperidol,CHEMBL54,HALOPERIDOL,Ion channel|Membrane receptor,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,"Haloperidol|Haloperidol decanoate impurity, haloperidol-|MCN-JR-1625|NSC-170973|NSC-615296|R-1625"
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,37,cetirizine,CHEMBL1000,CETIRIZINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,AC-170|Cetiderm|Cetirizina|Cetirizine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,39,fluvoxamine,CHEMBL814,FLUVOXAMINE,Transporter,Small molecule,Serotonin transporter inhibitor,Fluvoxamina|Fluvoxamine|N06AB08
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,40,prochlorperazine,CHEMBL728,PROCHLORPERAZINE,Membrane receptor,Small molecule,Dopamine D2 receptor antagonist,Prochlorperazine|Prochlorperazine mesilate|Prochlorperazine mesylate|Proclorperazina
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,41,dexibuprofen,CHEMBL175,DEXIBUPROFEN,Enzyme,Small molecule,Cyclooxygenase inhibitor,(s)-ibuprofen|Dexibuprofen|Dexibuprofene|Dexibuprofeno|IBU-TAB|NSC-759814|Neoprofen|Rufen|S-ibuprofen
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,42,trichlormethiazide,CHEMBL1054,TRICHLORMETHIAZIDE,Transporter,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,NSC-61560|Trichlormethiazide|Trichloromethiazide|Triclormetiazida
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,43,clenbuterol,CHEMBL49080,CLENBUTEROL,Membrane receptor,Small molecule,Beta-2 adrenergic receptor agonist,Clenbuterol|Clenbuterol hydrochloride|Contraspasmin|NAB 365|NSC-758633|Planipart
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,45,sotalol,CHEMBL471,SOTALOL,Ion channel|Membrane receptor,Small molecule,HERG blocker,Betapace|C07AA07|Darob mite|Dl-sotalol|MJ-1999|Sorine|Sotalol
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,48,nalbuphine,CHEMBL895,NALBUPHINE,Membrane receptor,Small molecule,Opioid receptors; mu/kappa/delta agonist,Intapan|Nalbufina|Nalbuphine|Nubain
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,51,sirolimus,CHEMBL413,SIROLIMUS,Enzyme|Ion channel,Small molecule,FK506-binding protein 1A inhibitor,AY-22989|Fyarro|Hyftor|L04AA10|NSC-226080|Npc-12g|Rapalimus|Rapamycin|SM-88 COMPONENT SIROLIMUS|Sirolimus|WY-090217
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,52,orciprenaline,CHEMBL776,METAPROTERENOL,Membrane receptor,Small molecule,Beta-2 adrenergic receptor agonist,Metaproterenol|Orciprenalina|Orciprenaline
