gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism
PABPC4,0.01751858741044998,,,,,0.01751858741044998,0.01751858741044998,0.01751858741044998,human
PPT1,0.017462123185396194,-0.02230355329811573,-0.021874023601412773,-0.026236973702907562,,-0.013238106854259968,-0.02208878844976425,0.017462123185396194,human
HMGN1,0.017448049038648605,,-0.03213530778884888,,,-0.007343629375100136,-0.007343629375100136,0.017448049038648605,human
SERPINE2,0.017438000068068504,,,,,0.017438000068068504,0.017438000068068504,0.017438000068068504,human
ATP5G3,0.017391575500369072,,,,,0.017391575500369072,0.017391575500369072,0.017391575500369072,human
PPP2R2A,0.017323065549135208,,,,,0.017323065549135208,0.017323065549135208,0.017323065549135208,human
IGFBP2,0.017321154475212097,,,,0.016254164278507233,0.016787659376859665,0.016787659376859665,0.017321154475212097,human
NDUFA13,0.017313439399003983,,,,,0.017313439399003983,0.017313439399003983,0.017313439399003983,human
NDUFB4,0.017311684787273407,,,,,0.017311684787273407,0.017311684787273407,0.017311684787273407,human
SPCS1,0.01728404127061367,,,,,0.01728404127061367,0.01728404127061367,0.01728404127061367,human
QARS,0.017253395169973373,,,,,0.017253395169973373,0.017253395169973373,0.017253395169973373,human
FKBP1A,0.017248524352908134,,,,,0.017248524352908134,0.017248524352908134,0.017248524352908134,human
ATP6V0C,0.017202017828822136,,0.01832355186343193,0.017044391483068466,,0.017523320391774178,0.017202017828822136,0.017202017828822136,human
PDIA5,0.017197132110595703,,,,,0.017197132110595703,0.017197132110595703,0.017197132110595703,human
PLA2G16,0.01714915782213211,,,,,0.01714915782213211,0.01714915782213211,0.01714915782213211,human
UBE2E1,0.01713443733751774,,,,,0.01713443733751774,0.01713443733751774,0.01713443733751774,human
CLU,0.017110897228121758,,,,,0.017110897228121758,0.017110897228121758,0.017110897228121758,human
RRAGC,0.017102690413594246,,,,,0.017102690413594246,0.017102690413594246,0.017102690413594246,human
TGFBI,0.017084350809454918,,,,,0.017084350809454918,0.017084350809454918,0.017084350809454918,human
HADHB,0.017030922695994377,,,,,0.017030922695994377,0.017030922695994377,0.017030922695994377,human
CLTA,0.017028603702783585,,,,,0.017028603702783585,0.017028603702783585,0.017028603702783585,human
PKD1P1,0.01701083779335022,,,,-0.0354185476899147,-0.009203854948282242,-0.009203854948282242,0.01701083779335022,human
SRP9,0.016961926594376564,,,,,0.016961926594376564,0.016961926594376564,0.016961926594376564,human
YWHAZ,0.01696041040122509,,-0.01979166455566883,,,-0.0014156270772218704,-0.0014156270772218704,0.01696041040122509,human
SSR2,0.016942285001277924,,,-0.016827503219246864,,5.739089101552963e-05,5.739089101552963e-05,0.016942285001277924,human
YME1L1,0.016936277970671654,,,,,0.016936277970671654,0.016936277970671654,0.016936277970671654,human
