gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
SEPP1,0.013840848580002785,,0.03653308004140854,-0.012505379505455494,,,0.01262284970531861,0.013840848580002785,,human
PPP3CB,0.013684227131307125,,,,,,0.013684227131307125,0.013684227131307125,,human
EID1,0.013673821464180946,,-0.02293064445257187,,,,-0.004628411494195461,-0.004628411494195461,,human
EGF,0.013636036776006222,,,,,,0.013636036776006222,0.013636036776006222,,human
TPI1,0.013632120564579964,,,0.013515228405594826,,,0.013573674485087395,0.013573674485087395,,human
KLHL24,0.013623579405248165,,,,,,0.013623579405248165,0.013623579405248165,,human
GPNMB,0.01355583406984806,,,0.05396345630288124,,,0.03375964518636465,0.03375964518636465,,human
PRKAA2,0.013494640588760376,,,,,,0.013494640588760376,0.013494640588760376,,human
SEC14L3,0.013360180892050266,,,,,,0.013360180892050266,0.013360180892050266,,human
FTH1P5,0.013359809294342995,,-0.05116482451558113,-0.06471117585897446,,,-0.0341720636934042,-0.05116482451558113,,human
VBP1,0.013348729349672794,,,,,,0.013348729349672794,0.013348729349672794,,human
RASSF9,0.013302771374583244,,,,,,0.013302771374583244,0.013302771374583244,,human
FBXO40,0.013160194270312786,,,,,,0.013160194270312786,0.013160194270312786,,human
ZCCHC11,0.012914772145450115,,,,,,0.012914772145450115,0.012914772145450115,,human
CD3EAP,0.012848186306655407,,,,,,0.012848186306655407,0.012848186306655407,,human
VAPA,0.012793714180588722,,-0.02383563667535782,,,,-0.005520961247384548,-0.005520961247384548,,human
CMPK1,0.012770331464707851,,-0.016515081748366356,,,,-0.0018723751418292522,-0.0018723751418292522,,human
DDX5,0.012628130614757538,,-0.057637594640254974,,,,-0.022504732012748718,-0.022504732012748718,,human
NDUFB5,0.012462057173252106,,,,,,0.012462057173252106,0.012462057173252106,,human
CAB39,0.012454217299818993,,,,,,0.012454217299818993,0.012454217299818993,,human
GTF2IRD1,0.012429318390786648,,,,,,0.012429318390786648,0.012429318390786648,,human
HSD17B4,0.0124278599396348,,-0.023314563557505608,,,,-0.005443351808935404,-0.005443351808935404,,human
WDR62,0.012426765635609627,,,,,,0.012426765635609627,0.012426765635609627,,human
HSPB8,0.012425730936229229,,-0.01748332381248474,,,,-0.002528796438127756,-0.002528796438127756,,human
SCPEP1,0.012357145547866821,,,,,,0.012357145547866821,0.012357145547866821,,human
NSF,0.012183373793959618,,,,,,0.012183373793959618,0.012183373793959618,,human
C9orf3,0.012153196148574352,,,,,,0.012153196148574352,0.012153196148574352,,human
ZCCHC24,0.01214336883276701,,,0.05186969041824341,,,0.03200652962550521,0.03200652962550521,,human
SSFA2,0.012127455323934555,,,,,,0.012127455323934555,0.012127455323934555,,human
