gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism,signature_type
CCNL1,,,-0.041433397680521,,,-0.041433397680521,-0.041433397680521,,human,DOWN
PPA1,-0.0411171466112136,,,,,-0.0411171466112136,-0.0411171466112136,,human,DOWN
BEX5,,,,,-0.041058924049139,-0.041058924049139,-0.041058924049139,-0.041058924049139,human,DOWN
NDUFV2,-0.0409504733979702,,,,,-0.0409504733979702,-0.0409504733979702,,human,DOWN
CHCHD3,-0.040839210152626,,,,,-0.040839210152626,-0.040839210152626,,human,DOWN
BSG,,,,-0.0408179089426994,,-0.0408179089426994,-0.0408179089426994,,human,DOWN
RGS5,-0.0248298179358243,,-0.0561806112527847,,,-0.0405052145943045,-0.0405052145943045,,human,DOWN
SPARCL1,-0.0305533148348331,,-0.0495241619646549,,,-0.040038738399744,-0.040038738399744,,human,DOWN
CDH13,,,-0.0397989936172962,,,-0.0397989936172962,-0.0397989936172962,,human,DOWN
TMED9,,,,-0.0396338179707527,,-0.0396338179707527,-0.0396338179707527,,human,DOWN
SCRG1,,,-0.0396214984357357,,,-0.0396214984357357,-0.0396214984357357,,human,DOWN
JUNB,,,-0.0560659356415271,,-0.0229248013347387,-0.0394953684881329,-0.0394953684881329,-0.0229248013347387,human,DOWN
PRSS23,,,,-0.0394851602613925,,-0.0394851602613925,-0.0394851602613925,,human,DOWN
ADH5,,,-0.0392231941223144,,,-0.0392231941223144,-0.0392231941223144,,human,DOWN
LOC100506014,,-0.0392196327447891,,,,-0.0392196327447891,-0.0392196327447891,,human,DOWN
GOLGA6L2,,-0.0390262678265571,,,,-0.0390262678265571,-0.0390262678265571,,human,DOWN
MYL6B,-0.0625323802232742,,,-0.0151908723637461,,-0.0388616262935102,-0.0388616262935102,,human,DOWN
TUBB2A,,,,-0.0387212745845317,,-0.0387212745845317,-0.0387212745845317,,human,DOWN
LRRC2,-0.0386663936078548,,,,,-0.0386663936078548,-0.0386663936078548,,human,DOWN
PCSK7,,,-0.0386120304465293,,,-0.0386120304465293,-0.0386120304465293,,human,DOWN
PLN,0.0251248627901077,,-0.1020594984292984,,,-0.0384673178195953,-0.0384673178195953,,human,DOWN
TSC22D1,-0.0253266263753175,,-0.0515305288136005,,,-0.038428577594459,-0.038428577594459,,human,DOWN
PPT1,,,-0.0383564382791519,,,-0.0383564382791519,-0.0383564382791519,,human,DOWN
SESN1,-0.0383454598486423,,,,,-0.0383454598486423,-0.0383454598486423,,human,DOWN
RPL28,,,,-0.0382205173373222,,-0.0382205173373222,-0.0382205173373222,,human,DOWN
IFNA4,,,,,-0.037977036088705,-0.037977036088705,-0.037977036088705,-0.037977036088705,human,DOWN
PNRC2,,,-0.0378504395484924,,,-0.0378504395484924,-0.0378504395484924,,human,DOWN
AP3S1,,,-0.03780123218894,,,-0.03780123218894,-0.03780123218894,,human,DOWN
RNF11,,,-0.037597369402647,,,-0.037597369402647,-0.037597369402647,,human,DOWN
GGT5,,,,-0.023083372041583,-0.0519356504082679,-0.0375095112249255,-0.0375095112249255,-0.0519356504082679,human,DOWN
TTTY2B,,-0.0374892130494117,,,,-0.0374892130494117,-0.0374892130494117,,human,DOWN
PTK2,,,-0.0374360904097557,,,-0.0374360904097557,-0.0374360904097557,,human,DOWN
CDKN1A,,,,-0.0373121462762355,,-0.0373121462762355,-0.0373121462762355,,human,DOWN
TAS1R2,,-0.0372924767434597,,,,-0.0372924767434597,-0.0372924767434597,,human,DOWN
EEF2,,,0.0158909354358911,-0.0904537141323089,,-0.0372813893482089,-0.0372813893482089,,human,DOWN
ISCU,,,-0.0372582636773586,,,-0.0372582636773586,-0.0372582636773586,,human,DOWN
CFL1,0.0176768936216831,,-0.0464747957885265,-0.0828691869974136,,-0.0372223630547523,-0.0464747957885265,,human,DOWN
POSTN,,,-0.0372053496539592,,,-0.0372053496539592,-0.0372053496539592,,human,DOWN
PPP1CB,-0.0264333672821521,,-0.047634620219469,,,-0.0370339937508106,-0.0370339937508106,,human,DOWN
MXRA5,,,-0.0275327526032924,-0.0464155636727809,,-0.0369741581380367,-0.0369741581380367,,human,DOWN
MYL12B,-0.068295881152153,,-0.0269240364432334,-0.0152173303067684,,-0.0368124159673849,-0.0269240364432334,,human,DOWN
YPEL5,,,-0.0367546491324901,,,-0.0367546491324901,-0.0367546491324901,,human,DOWN
ZNF160,,,-0.0363609082996845,,,-0.0363609082996845,-0.0363609082996845,,human,DOWN
LOC283861,,,,,-0.0362646281719207,-0.0362646281719207,-0.0362646281719207,-0.0362646281719207,human,DOWN
HBA2,-0.2254278063774109,,0.1583962589502334,,-0.0416944213211536,-0.036241989582777,-0.0416944213211536,-0.0416944213211536,human,DOWN
