gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism,signature_type
MGLL,,-0.0163586251437664,,-0.0204327292740345,-0.0436172485351562,,-0.0268028676509857,-0.0204327292740345,,human,DOWN
LILRB2,,,0.0199805758893489,-0.0617979429662227,-0.0385112464427948,,-0.0267762045065561,-0.0385112464427948,0.0199805758893489,human,DOWN
GPER1,,,,,,-0.0267518982291221,-0.0267518982291221,-0.0267518982291221,,human,DOWN
RERE,,,-0.0352180711925029,,-0.0182237848639488,,-0.0267209280282259,-0.0267209280282259,-0.0352180711925029,human,DOWN
SPDYE1,,,,-0.022421546280384,-0.0308854226022958,,-0.0266534844413399,-0.0266534844413399,,human,DOWN
C12orf57,-0.0266395881772041,,,,,,-0.0266395881772041,-0.0266395881772041,,human,DOWN
RPS4Y1,-0.0809593573212623,0.0279142148792743,,,,,-0.0265225712209939,-0.0265225712209939,,human,DOWN
KCTD12,,,,-0.0264524742960929,,,-0.0264524742960929,-0.0264524742960929,,human,DOWN
ACKR1,,-0.0264422055333852,,,,,-0.0264422055333852,-0.0264422055333852,,human,DOWN
MYLK,,-0.0264033284038305,,,,,-0.0264033284038305,-0.0264033284038305,,human,DOWN
ZKSCAN7,,,,-0.0263680592179298,,,-0.0263680592179298,-0.0263680592179298,,human,DOWN
IL13RA1,,,,-0.0218476019799709,,-0.030808251351118,-0.0263279266655445,-0.0263279266655445,,human,DOWN
PA2G4,,,,,-0.0263217967003583,,-0.0263217967003583,-0.0263217967003583,,human,DOWN
HDDC3,,,-0.0262981634587049,,,,-0.0262981634587049,-0.0262981634587049,-0.0262981634587049,human,DOWN
HNMT,,,,-0.026005795225501,-0.0265756268054246,,-0.0262907110154628,-0.0262907110154628,,human,DOWN
NOP10,-0.0262504573911428,,,,,,-0.0262504573911428,-0.0262504573911428,,human,DOWN
CXCR2,,,,-0.0262224227190017,,,-0.0262224227190017,-0.0262224227190017,,human,DOWN
CRIP1,,-0.0262061357498168,,,,,-0.0262061357498168,-0.0262061357498168,,human,DOWN
DGKG,,,,,,-0.026169117540121,-0.026169117540121,-0.026169117540121,,human,DOWN
CD68,,,,-0.028256868943572,-0.0314506329596042,-0.0187597293406724,-0.0261557437479496,-0.028256868943572,,human,DOWN
MXRA7,,-0.0261469185352325,,,,,-0.0261469185352325,-0.0261469185352325,,human,DOWN
ZNF160,,-0.0261206831783056,,,,,-0.0261206831783056,-0.0261206831783056,,human,DOWN
GNG8,,,,,,-0.026118105277419,-0.026118105277419,-0.026118105277419,,human,DOWN
EMP2,,-0.0260809585452079,,,,,-0.0260809585452079,-0.0260809585452079,,human,DOWN
HLA-DOA,,,,,,-0.0260598231106996,-0.0260598231106996,-0.0260598231106996,,human,DOWN
TMEM19,,,,,,-0.025891063734889,-0.025891063734889,-0.025891063734889,,human,DOWN
NABP1,,,,-0.0258847959339618,,,-0.0258847959339618,-0.0258847959339618,,human,DOWN
AHNAK2,,-0.0258826240897178,,,,,-0.0258826240897178,-0.0258826240897178,,human,DOWN
NKX6-3,,,,,,-0.0258793290704488,-0.0258793290704488,-0.0258793290704488,,human,DOWN
JRKL,,,-0.0258042011409997,-0.0280644949525594,-0.0234751906245946,,-0.0257812955727179,-0.0258042011409997,-0.0258042011409997,human,DOWN
KANK1,,,,,-0.0257505234330892,,-0.0257505234330892,-0.0257505234330892,,human,DOWN
EFCAB3,,,,,,-0.0257055852562189,-0.0257055852562189,-0.0257055852562189,,human,DOWN
ANXA2P2,-0.0376062095165252,-0.0137838842347264,,,,,-0.0256950468756258,-0.0256950468756258,,human,DOWN
RNF32,,,,,,-0.0256636831909418,-0.0256636831909418,-0.0256636831909418,,human,DOWN
LGMN,,,,,-0.0186567846685647,-0.0326123237609863,-0.0256345542147755,-0.0256345542147755,,human,DOWN
VWF,,-0.0255682431161403,,,,,-0.0255682431161403,-0.0255682431161403,,human,DOWN
DPYSL2,-0.0255226548761129,,,,,,-0.0255226548761129,-0.0255226548761129,,human,DOWN
RPL19,-0.0259405244141817,-0.025103747844696,,,,,-0.0255221361294388,-0.0255221361294388,,human,DOWN
SAMD9,,,,-0.0250147636979818,-0.0276228282600641,-0.0239122211933136,-0.0255166043837865,-0.0250147636979818,,human,DOWN
ABCC11,,,-0.0254801996052265,,,,-0.0254801996052265,-0.0254801996052265,-0.0254801996052265,human,DOWN
FAM200A,,,,,-0.0259059593081474,-0.0250230301171541,-0.0254644947126507,-0.0254644947126507,,human,DOWN
PACRGL,,,-0.0253904778510332,,,,-0.0253904778510332,-0.0253904778510332,-0.0253904778510332,human,DOWN
PNISR,,,,,-0.025334432721138,,-0.025334432721138,-0.025334432721138,,human,DOWN
ARMC9,,,,,,-0.0252984501421451,-0.0252984501421451,-0.0252984501421451,,human,DOWN
KIDINS220,,,-0.0252867843955755,,,,-0.0252867843955755,-0.0252867843955755,-0.0252867843955755,human,DOWN
SERPING1,,-0.0212668590247631,,,-0.0217148289084434,-0.0327333100140094,-0.025238332649072,-0.0217148289084434,,human,DOWN
C1orf198,-0.0252262484282255,,,,,,-0.0252262484282255,-0.0252262484282255,,human,DOWN
CLCA1,,,,,,-0.0251631122082471,-0.0251631122082471,-0.0251631122082471,,human,DOWN
MS4A7,,,,-0.0251623187214136,,,-0.0251623187214136,-0.0251623187214136,,human,DOWN
KLHDC9,,,,,,-0.0251219142228364,-0.0251219142228364,-0.0251219142228364,,human,DOWN
RPL36,-0.0308948941528797,-0.0192621834576129,,,,,-0.0250785388052463,-0.0250785388052463,,human,DOWN
NCOA3,,,,,-0.0250699948519468,,-0.0250699948519468,-0.0250699948519468,,human,DOWN
ADD3,-0.0249695274978876,,,,,,-0.0249695274978876,-0.0249695274978876,,human,DOWN
AHNAK,,-0.0248988475650548,,,,,-0.0248988475650548,-0.0248988475650548,,human,DOWN
ZNF415,,,-0.0187408197671175,,-0.0309375114738941,,-0.0248391656205058,-0.0248391656205058,-0.0187408197671175,human,DOWN
NOD2,,,,-0.0248136892914772,,,-0.0248136892914772,-0.0248136892914772,,human,DOWN
UTS2,,,,-0.0325130373239517,-0.0170166324824094,,-0.0247648349031806,-0.0247648349031806,,human,DOWN
HOMER1,,,-0.0247284770011901,,,,-0.0247284770011901,-0.0247284770011901,-0.0247284770011901,human,DOWN
WDR17,,,-0.0167003944516181,,,-0.0326895266771316,-0.0246949605643749,-0.0246949605643749,-0.0167003944516181,human,DOWN
ADAP2,,,,,-0.0246702376753091,,-0.0246702376753091,-0.0246702376753091,,human,DOWN
OR10G8,,,,-0.0246377140283584,,,-0.0246377140283584,-0.0246377140283584,,human,DOWN
PFDN5,-0.0246357657015323,,,,,,-0.0246357657015323,-0.0246357657015323,,human,DOWN
PPP1R36,,,,,,-0.0246327072381973,-0.0246327072381973,-0.0246327072381973,,human,DOWN
SNRNP48,,,,,-0.0246130265295505,,-0.0246130265295505,-0.0246130265295505,,human,DOWN
NPCDR1,,,,,-0.024601949378848,,-0.024601949378848,-0.024601949378848,,human,DOWN
NCOR1,,,,,,-0.0245899762958288,-0.0245899762958288,-0.0245899762958288,,human,DOWN
ABCA8,,-0.0245569497346878,,,,,-0.0245569497346878,-0.0245569497346878,,human,DOWN
CCL2,0.0194300133734941,,,-0.0422475151717662,-0.0501938574016094,-0.0251595024019479,-0.0245427154004573,-0.0337035087868571,,human,DOWN
OASL,,,-0.0253080278635025,,-0.0236998591572046,,-0.0245039435103535,-0.0245039435103535,-0.0253080278635025,human,DOWN
PEPD,-0.0244835261255502,,,,,,-0.0244835261255502,-0.0244835261255502,,human,DOWN
DDX17,,,-0.0304965917021036,-0.0230189748108387,-0.0272615868598222,-0.016946155577898,-0.0244308272376656,-0.0251402808353304,-0.0304965917021036,human,DOWN
CEP290,,,,,-0.0244169048964977,,-0.0244169048964977,-0.0244169048964977,,human,DOWN
FOSB,,-0.0244063828140497,,,,,-0.0244063828140497,-0.0244063828140497,,human,DOWN
RNF112,,,-0.0259033218026161,-0.0228733029216527,,,-0.0243883123621344,-0.0243883123621344,-0.0259033218026161,human,DOWN
ZNF175,,,,-0.0243587289005517,,,-0.0243587289005517,-0.0243587289005517,,human,DOWN
TNFSF11,,,-0.0243395753204822,,,,-0.0243395753204822,-0.0243395753204822,-0.0243395753204822,human,DOWN
PRRC1,,,,,-0.0243191756308078,,-0.0243191756308078,-0.0243191756308078,,human,DOWN
TMX4,,,-0.016065876930952,-0.0248738303780555,-0.031989213079214,,-0.0243096401294072,-0.0248738303780555,-0.016065876930952,human,DOWN
KATNBL1,,,,-0.0242714378982782,,,-0.0242714378982782,-0.0242714378982782,,human,DOWN
NME8,,,,-0.0242487248033285,,,-0.0242487248033285,-0.0242487248033285,,human,DOWN
ZFYVE16,,,-0.024235701188445,,,,-0.024235701188445,-0.024235701188445,-0.024235701188445,human,DOWN
ZNF404,,,0.0311221648007631,-0.0545922964811325,-0.0214912723749876,-0.0519106946885585,-0.0242180246859788,-0.036700983531773,0.0311221648007631,human,DOWN
NLRC4,,,,-0.0296512078493833,,-0.0187789537012577,-0.0242150807753205,-0.0242150807753205,,human,DOWN
RTN4,-0.0245786309242248,-0.0238229725509881,,,,,-0.0242008017376065,-0.0242008017376065,,human,DOWN
ZNF658,,,,,-0.0241513941437006,,-0.0241513941437006,-0.0241513941437006,,human,DOWN
GFOD2,,,,,-0.0240795090794563,,-0.0240795090794563,-0.0240795090794563,,human,DOWN
SRPX,-0.0240368768572807,,,,,,-0.0240368768572807,-0.0240368768572807,,human,DOWN
