gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
PF4,,,,,,,,,,0.013114065863192,,,-0.0645304769277572,,-0.0268674567341804,0.0158772822469472,-0.2125958204269409,,-0.0550004811957478,-0.0268674567341804,,human,DOWN
GDF15,-0.083581767976284,,0.0052518369629979,-0.0627870708703994,,,-0.0725928246974945,-0.0527166500687599,,,,,,,,,,,-0.053285295329988,-0.0627870708703994,-0.083581767976284,human,DOWN
ACTG1,-0.0596604458987712,-0.0999214872717857,-0.0066718240268528,-0.0279611889272928,-0.0095221884548664,,-0.0709905326366424,-0.021908164024353,,-0.1233335584402084,-0.0331223905086517,-0.075967289507389,-0.0896025970578193,,,,-0.0150618609040975,,-0.0528102939715608,-0.0463914182037115,-0.0596604458987712,human,DOWN
EEF1A1P9,,-0.0722819194197654,,,,,,,0.0347189530730247,0.0113808596506714,-0.108471930027008,-0.1008103340864181,-0.0806258469820022,,,,,,-0.0526817029652496,-0.0764538832008838,,human,DOWN
GSPT1,,,,,,,,,,,,,,-0.0566069148480892,0.0205791927874088,-0.1207150146365165,,,-0.0522475788990656,-0.0566069148480892,,human,DOWN
SNORD13,,,,,,,,,,,,,,-0.057890597730875,-0.1215462535619735,-0.0448666810989379,,0.0166512094438076,-0.0519130807369947,-0.0513786394149065,,human,DOWN
DNAJC25-GNG10,,,,,,,,,,,,,,-0.0467842295765876,-0.0187561903148889,,,-0.0899781137704849,-0.0518395112206538,-0.0467842295765876,,human,DOWN
RNASE6,,,,,,,,,,,,,,,,,-0.0515256561338901,,-0.0515256561338901,-0.0515256561338901,,human,DOWN
SCFV,,,,,,,,,,,,,,-0.0615472495555877,,-0.0694519355893135,,-0.0232225712388753,-0.0514072521279255,-0.0615472495555877,,human,DOWN
PODXL,,,,,,,,,-0.0509944111108779,,,,,,,,,,-0.0509944111108779,-0.0509944111108779,,human,DOWN
