gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
EMC10,,0.0207234323024749,,,,,,,,,,,,,,,0.0207234323024749,0.0207234323024749,,human,UP
HNRNPA1,,,,,,,,,,,,,,,0.0207109674811363,,0.0207109674811363,0.0207109674811363,,human,UP
SNORD115-44,,,,,,0.0228550471365451,0.0185434035956859,,,,,,,,,,0.0206992253661155,0.0206992253661155,,human,UP
GP1BB,0.0206971000880002,,,,,,,,,,,,,,,,0.0206971000880002,0.0206971000880002,0.0206971000880002,human,UP
FLJ22184,,,,,,,,0.0206885412335395,,,,,,,,,0.0206885412335395,0.0206885412335395,,human,UP
CAMTA2,,,,,,,,,,,,0.020687710493803,,,,,0.020687710493803,0.020687710493803,,human,UP
CTXN3,,,,,,,,,0.0206800401210784,,,,,,,,0.0206800401210784,0.0206800401210784,,human,UP
NNMT,,,,,,0.0604441985487937,-0.0191038139164447,,,,,,,,,,0.0206701923161745,0.0206701923161745,,human,UP
PARD6A,,0.0475265532732009,,,,,,,0.0382475145161151,,,,,,,-0.0237706881016492,0.0206677932292222,0.0382475145161151,,human,UP
PIGA,,,,,,,,,,,,,,,,0.020660875365138,0.020660875365138,0.020660875365138,,human,UP
RPL21P28,,,,,,,0.0206595174968242,,,,,,,,,,0.0206595174968242,0.0206595174968242,,human,UP
CA14,,,,,,0.0213009715080261,0.0200167670845985,,,,,,,,,,0.0206588692963123,0.0206588692963123,,human,UP
DBNDD1,,0.0233015064150095,,,,,,,0.017997857183218,,,,,,,,0.0206496817991137,0.0206496817991137,,human,UP
LMO2,,,0.0192558914422988,-0.018456669524312,,,,,,0.0270765628665685,0.0486190393567085,,,,0.0267470702528953,,0.0206483788788318,0.0267470702528953,,human,UP
C4B,,,,,0.032029639929533,,-0.0134370923042297,0.0250654593110084,,,,,,,,0.0389125198125839,0.0206426316872239,0.0285475496202707,,human,UP
CERS1,,0.0551265478134155,,,-0.0204540826380252,,,,0.0272469036281108,,,,,,,,0.020639789601167,0.0272469036281108,,human,UP
NRSN1,,,,,,,,0.020624229684472,,,,,,,,,0.020624229684472,0.020624229684472,,human,UP
RBKS,,,,,,,,,0.0206151213496923,,,,,,,,0.0206151213496923,0.0206151213496923,,human,UP
RUFY3,,,,,,0.0173992849886417,0.0238294508308172,,,,,,,,,,0.0206143679097294,0.0206143679097294,,human,UP
STS,,,,,,,,,,,,,,0.0206103362143039,,,0.0206103362143039,0.0206103362143039,,human,UP
ETHE1,,0.0209020506590604,,,,,,,,,,,,0.0202138535678386,,,0.0205579521134495,0.0205579521134495,,human,UP
SV2B,,,,,,,,,,,,,,0.0205513834953308,,,0.0205513834953308,0.0205513834953308,,human,UP
SCGB1D2,,,,,,,,,,,,,,,,0.0205458216369152,0.0205458216369152,0.0205458216369152,,human,UP
CASC3,,,,,,,,0.0256009902805089,,,,,0.0154772084206342,,,,0.0205390993505716,0.0205390993505716,,human,UP
RALYL,,,,,,,,,,,,,,,,0.0205269902944564,0.0205269902944564,0.0205269902944564,,human,UP
EIF3L,,,,,,,0.0205004215240478,,,,,,,,,,0.0205004215240478,0.0205004215240478,,human,UP
UBE2H,,,,,,0.0139952572062611,0.027002228423953,,,,,,,,,,0.0204987428151071,0.0204987428151071,,human,UP
SFTA1P,,,,,,,,,,,,,,0.0204976368695497,,,0.0204976368695497,0.0204976368695497,,human,UP
PRKCE,,,,,,,,,,,,,,,,0.020487118512392,0.020487118512392,0.020487118512392,,human,UP
AP3S2,,0.0204793345183134,,,,,,,,,,,,,,,0.0204793345183134,0.0204793345183134,,human,UP
CYP2J2,,,,,,,,,,,,,,,,0.0204732716083526,0.0204732716083526,0.0204732716083526,,human,UP
HMGN4,,0.0241033118218183,0.0168422013521194,,,,,,,,,,,,,,0.0204727565869689,0.0204727565869689,,human,UP
ITSN1,,,,,,0.0180156752467155,0.0229295436292886,,,,,,,,,,0.0204726094380021,0.0204726094380021,,human,UP
PCDHB16,,,,,,,,,,0.0177423227578401,0.023184385150671,,,,,,0.0204633539542555,0.0204633539542555,,human,UP
SEMA3D,,,,,,,,,,,,,,0.0204573106020689,,,0.0204573106020689,0.0204573106020689,,human,UP
SETBP1,,,,,,,0.0204420294612646,,,,,,,,,,0.0204420294612646,0.0204420294612646,,human,UP
GPR126,,,,,,,,,,,,,,0.0204419437795877,,,0.0204419437795877,0.0204419437795877,,human,UP
ECSIT,,0.0223044902086257,,,,,,,0.0185733921825885,,,,,,,,0.0204389411956071,0.0204389411956071,,human,UP
CRYGC,,,,,,,,,,,,,,0.0204294957220554,,,0.0204294957220554,0.0204294957220554,,human,UP
MAGEE2,,,,,,,,,,,,,,,,0.0204242896288633,0.0204242896288633,0.0204242896288633,,human,UP
PEBP4,,0.0235917121171951,,,,,,,0.0172524433583021,,,,,,,,0.0204220777377486,0.0204220777377486,,human,UP
LOC100505584,,,,,0.0259839259088039,,,,,-0.0141800818964838,,0.0202083550393581,0.049631729722023,,,,0.0204109821934252,0.023096140474081,,human,UP
AKT1,,0.0216180197894573,,,,,,,0.0191953498870134,,,,,,,,0.0204066848382353,0.0204066848382353,,human,UP
RPL11,,,0.0590358935296535,-0.027538513764739,0.0222871117293834,,0.024366496130824,,,,,0.0217224545776844,,,0.0225031040608882,,0.0203960910439491,0.0223951078951358,,human,UP
