gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
FN3KRP,-0.0523247383534908,,,,,,,,-0.0190468225628137,,,,,,,,-0.0356857804581522,-0.0356857804581522,-0.0523247383534908,human,DOWN
KLHDC8A,,,,,,-0.027186594903469,-0.0439962409436702,,,,,,,,,,-0.0355914179235696,-0.0355914179235696,,human,DOWN
ASNSD1,,-0.0453014895319938,,,,,,,-0.0415012128651142,-0.0195464082062244,,,,,,,-0.0354497035344441,-0.0415012128651142,,human,DOWN
TMEM258,-0.0327278636395931,,,0.0160440765321254,,,,-0.0307618845254182,,-0.0725720003247261,-0.0569084323942661,,,,,,-0.0353852208703756,-0.0327278636395931,-0.0327278636395931,human,DOWN
SH3GL3,,,,,,,,,,,,-0.0352828279137611,,,,,-0.0352828279137611,-0.0352828279137611,,human,DOWN
ATP12A,,,,,,,,,,,,,,-0.0352020189166069,,,-0.0352020189166069,-0.0352020189166069,,human,DOWN
CD2,,,-0.0344790779054164,,,,,,,,,,,,-0.0358088575303554,,-0.0351439677178859,-0.0351439677178859,,human,DOWN
ASAH1,,,,,,,-0.055083118379116,-0.0150036560371518,,,,,,,,,-0.0350433872081339,-0.0350433872081339,,human,DOWN
MTCH1,,,-0.035011701285839,,,,,,,,,,,,,,-0.035011701285839,-0.035011701285839,,human,DOWN
REEP5,,-0.0206559672951698,,,,,,,,,,-0.0493564754724502,,,,,-0.03500622138381,-0.03500622138381,,human,DOWN
LTA4H,,,-0.0437876284122467,,,,,,,,,,,,-0.0261731799691915,,-0.0349804041907191,-0.0349804041907191,,human,DOWN
ZNF365,,,,,-0.0349172987043857,,,,,,,,,,,,-0.0349172987043857,-0.0349172987043857,,human,DOWN
ADCYAP1R1,,,,,,-0.0349041223526001,,,,,,,,,,,-0.0349041223526001,-0.0349041223526001,,human,DOWN
ANKRD55,,,,,,,,,,,,,,-0.0348881669342517,,,-0.0348881669342517,-0.0348881669342517,,human,DOWN
RAP1B,,,-0.0416560433804988,,,,,,,,,,,,-0.0281031671911478,,-0.0348796052858233,-0.0348796052858233,,human,DOWN
