gene_symbol,logfc_dz:494,logfc_dz:1060,logfc_dz:1063,logfc_dz:277,logfc_dz:1061,logfc_dz:310,logfc_dz:1062,mean_logfc,median_logfc,common_experiment,organism,signature_type
HYI,,,,,,-0.0219122171401977,,-0.0219122171401977,-0.0219122171401977,,human,DOWN
MYL6,-0.0511234998703002,0.0391303114593029,,,,,-0.0536112710833549,-0.0218681531647841,-0.0511234998703002,0.0391303114593029,human,DOWN
USP9X,-0.0142313577234745,,,,,,-0.0295041520148515,-0.021867754869163,-0.021867754869163,,human,DOWN
GALNT14,,,,,,-0.021867100149393,,-0.021867100149393,-0.021867100149393,,human,DOWN
OGFR,-0.0218506809324026,,,,,,,-0.0218506809324026,-0.0218506809324026,,human,DOWN
CSNK2B,,,-0.0218009799718856,,,,,-0.0218009799718856,-0.0218009799718856,,human,DOWN
HSD17B11,,,,,,,-0.0217999462038278,-0.0217999462038278,-0.0217999462038278,,human,DOWN
CPA4,,,,,,-0.0217637363821268,,-0.0217637363821268,-0.0217637363821268,,human,DOWN
HNRNPA3,,,,,,,-0.0217484794557094,-0.0217484794557094,-0.0217484794557094,,human,DOWN
PCM1,,,,,,,-0.0217263158410787,-0.0217263158410787,-0.0217263158410787,,human,DOWN
LDHB,,-0.0246966425329446,,,,,-0.0187508855015039,-0.0217237640172243,-0.0217237640172243,-0.0246966425329446,human,DOWN
CHD2,,,,,,,-0.0216857865452766,-0.0216857865452766,-0.0216857865452766,,human,DOWN
S100A9,,,-0.0216463711112737,,,,,-0.0216463711112737,-0.0216463711112737,,human,DOWN
LXN,,-0.0216373521834611,,,,,,-0.0216373521834611,-0.0216373521834611,-0.0216373521834611,human,DOWN
SMC1A,,,,,,,-0.0216093603521585,-0.0216093603521585,-0.0216093603521585,,human,DOWN
HOXB6,,,,,,-0.0215982627123594,,-0.0215982627123594,-0.0215982627123594,,human,DOWN
PARK7,,,,-0.0215880200266838,,,,-0.0215880200266838,-0.0215880200266838,,human,DOWN
BCL10,,,,,,-0.0215729437768459,,-0.0215729437768459,-0.0215729437768459,,human,DOWN
PIN1,,,,-0.0215352028608322,,,,-0.0215352028608322,-0.0215352028608322,,human,DOWN
GPX1,,,-0.0215272679924964,,,,,-0.0215272679924964,-0.0215272679924964,,human,DOWN
KXD1,-0.0215177480131387,,,,,,,-0.0215177480131387,-0.0215177480131387,,human,DOWN
HCFC1,,,,,-0.0215090904384851,,,-0.0215090904384851,-0.0215090904384851,,human,DOWN
UBD,-0.0214962922036647,,,,,,,-0.0214962922036647,-0.0214962922036647,,human,DOWN
NDUFB4,-0.0214928779751062,,,,,,,-0.0214928779751062,-0.0214928779751062,,human,DOWN
CDCP1,,,,,,-0.0214686635881662,,-0.0214686635881662,-0.0214686635881662,,human,DOWN
NCOR2,-0.0214680358767509,,,,,,,-0.0214680358767509,-0.0214680358767509,,human,DOWN
TSPAN2,,,,,,-0.0214383825659751,,-0.0214383825659751,-0.0214383825659751,,human,DOWN
PPP1R12A,,,,,,-0.013803687877953,-0.0289530102163553,-0.0213783490471541,-0.0213783490471541,,human,DOWN
AKR1B1,,,,,-0.0213382430374622,,,-0.0213382430374622,-0.0213382430374622,,human,DOWN
CRIM1,,,,,,-0.0213262401521205,,-0.0213262401521205,-0.0213262401521205,,human,DOWN
KCNJ8,,,,,,-0.0213155467063188,,-0.0213155467063188,-0.0213155467063188,,human,DOWN
WNT7B,,,,,,-0.0213080458343029,,-0.0213080458343029,-0.0213080458343029,,human,DOWN
RNF167,-0.0212866943329572,,,,,,,-0.0212866943329572,-0.0212866943329572,,human,DOWN
APBB1IP,-0.0212728530168533,,,,,,,-0.0212728530168533,-0.0212728530168533,,human,DOWN
SRRM2,,,,,-0.0212156791239976,,,-0.0212156791239976,-0.0212156791239976,,human,DOWN
UXT,,,-0.0139824068173766,,,,-0.0283813029527664,-0.0211818548850715,-0.0211818548850715,,human,DOWN
PPBP,,,-0.0128988558426499,,,-0.0294431950896978,,-0.0211710254661738,-0.0211710254661738,,human,DOWN
RBM8A,,,,,,,-0.0211645402014255,-0.0211645402014255,-0.0211645402014255,,human,DOWN
POP1,,,,,,-0.0211187433451414,,-0.0211187433451414,-0.0211187433451414,,human,DOWN
ROCK1,,,,,,,-0.0211139116436243,-0.0211139116436243,-0.0211139116436243,,human,DOWN
KRT7,,,,,,-0.0211007911711931,,-0.0211007911711931,-0.0211007911711931,,human,DOWN
HSD17B7,,,,,-0.0210744310170412,,,-0.0210744310170412,-0.0210744310170412,,human,DOWN
HECA,-0.0210408139973878,,,,,,,-0.0210408139973878,-0.0210408139973878,,human,DOWN
SMS,,-0.0210370030254125,,,,,,-0.0210370030254125,-0.0210370030254125,-0.0210370030254125,human,DOWN
TBCB,,,-0.0209890473634004,,,,,-0.0209890473634004,-0.0209890473634004,,human,DOWN
CUL9,-0.0209663230925798,,,,,,,-0.0209663230925798,-0.0209663230925798,,human,DOWN
IL6ST,,,,,,,-0.0208841152489185,-0.0208841152489185,-0.0208841152489185,,human,DOWN
ARMCX6,,,-0.0208785496652126,,,,,-0.0208785496652126,-0.0208785496652126,,human,DOWN
DKC1,,,,,-0.0208232980221509,,,-0.0208232980221509,-0.0208232980221509,,human,DOWN
REC8,-0.0208204071968793,,,,,,,-0.0208204071968793,-0.0208204071968793,,human,DOWN
PRPS1L1,,,,,,-0.0208073202520608,,-0.0208073202520608,-0.0208073202520608,,human,DOWN
RPL6,-0.0250784270465374,-0.0166775807738304,,,-0.0140587585046887,,-0.0273943431675434,-0.0208022773731499,-0.0208780039101839,-0.0166775807738304,human,DOWN
NUCB2,-0.0207563415169715,,,,,,,-0.0207563415169715,-0.0207563415169715,,human,DOWN
