gene_symbol,logfc_dz:393,logfc_dz:149,logfc_dz:945,logfc_dz:947,logfc_dz:946,logfc_dz:883,mean_logfc,median_logfc,common_experiment,organism,signature_type
RRM2,,,,,0.029357174411416,,0.029357174411416,0.029357174411416,,human,UP
FSCN1,,,,,,0.0293203201144933,0.0293203201144933,0.0293203201144933,0.0293203201144933,human,UP
NDUFA4,,,0.0292179509997367,,,,0.0292179509997367,0.0292179509997367,,human,UP
OSTC,0.026586240157485,0.0307557824999094,0.0351846143603324,0.0240191239863634,,,0.0291364402510225,0.0286710113286972,,human,UP
RLIM,,0.0231866557151079,0.033755887299776,0.0300456192344427,,,0.0289960540831089,0.0300456192344427,,human,UP
SARAF,,,,,,0.0289589371532201,0.0289589371532201,0.0289589371532201,0.0289589371532201,human,UP
TCEAL2,,,,,,0.0289530977606773,0.0289530977606773,0.0289530977606773,0.0289530977606773,human,UP
AKR1B1,,,,,,0.0289293676614761,0.0289293676614761,0.0289293676614761,0.0289293676614761,human,UP
SEC31A,,0.0288409907370805,,,,,0.0288409907370805,0.0288409907370805,,human,UP
CHST15,,,,,,0.0287950076162815,0.0287950076162815,0.0287950076162815,0.0287950076162815,human,UP
HMGN1,,0.039388183504343,0.023187194019556,,0.0235610343515872,,0.0287121372918287,0.0235610343515872,,human,UP
LAPTM4B,,0.0287077277898788,,,,,0.0287077277898788,0.0287077277898788,,human,UP
GLT8D2,,,,,,0.0287037901580333,0.0287037901580333,0.0287037901580333,0.0287037901580333,human,UP
TBCA,0.0404733382165432,0.027863847091794,0.0453013181686401,0.0187779571861028,0.0108872698619961,,0.0286607461050152,0.027863847091794,,human,UP
ATF4,0.044146679341793,0.0144204935058951,,0.0293414089828729,0.0262223873287439,,0.0285327422898262,0.0277818981558084,,human,UP
GATM,,,,,,0.0285004936158657,0.0285004936158657,0.0285004936158657,0.0285004936158657,human,UP
NME1-NME2,0.0234225001186132,,,0.019611332565546,0.042336419224739,,0.0284567506362994,0.0234225001186132,,human,UP
EIF4A2,,,,,,0.0282340943813323,0.0282340943813323,0.0282340943813323,0.0282340943813323,human,UP
RPL22L1,0.0227929856628179,,,0.0335710495710372,,,0.0281820176169276,0.0281820176169276,,human,UP
IGK,,0.0429799519479274,0.0125872958451509,,,,0.0277836238965392,0.0277836238965392,,human,UP
RPL27,0.018760222941637,0.0284198485314846,0.0296648647636175,0.0450962521135807,0.0169629659503698,,0.0277808308601379,0.0284198485314846,,human,UP
ST13,,0.0386980213224887,,,,0.0168560054153203,0.0277770133689045,0.0277770133689045,0.0168560054153203,human,UP
LY96,,,,,,0.0277511663734912,0.0277511663734912,0.0277511663734912,0.0277511663734912,human,UP
C1QA,,,0.013627422042191,,,0.0418115183711051,0.0277194702066481,0.0277194702066481,0.0418115183711051,human,UP
CLDN11,,,,,,0.0277057979255914,0.0277057979255914,0.0277057979255914,0.0277057979255914,human,UP
C1S,0.0275422446429729,,,0.0218425635248422,,0.0333927124738693,0.0275925068805615,0.0275422446429729,0.0333927124738693,human,UP
APOC1,,,,,,0.027590287849307,0.027590287849307,0.027590287849307,0.027590287849307,human,UP
LTA4H,,,,,,0.0275821797549724,0.0275821797549724,0.0275821797549724,0.0275821797549724,human,UP
RPL26,0.0331319645047187,0.031177407130599,0.0160569567233324,0.0406602621078491,0.0230665169656276,0.0212082043290138,0.0275502186268568,0.0271219620481133,0.0212082043290138,human,UP
ARPC2,0.0373382791876792,,0.0235696248710155,0.0217373222112655,,,0.0275484087566534,0.0235696248710155,,human,UP
SNAI2,0.0333487316966056,0.0396859347820282,,0.016446154564619,0.0201659519225358,,0.0274116932414472,0.0267573418095707,,human,UP
PTGIS,,,,,,0.0274036470800638,0.0274036470800638,0.0274036470800638,0.0274036470800638,human,UP
PRDX1,0.0226191561669111,0.0415252782404422,0.0177844539284706,,,,0.0273096294452746,0.0226191561669111,,human,UP
DNAJA1,0.0259201489388942,,0.0287487637251615,0.0271690841764211,,,0.0272793322801589,0.0271690841764211,,human,UP
BRI3,,,,,,0.0270690079778432,0.0270690079778432,0.0270690079778432,0.0270690079778432,human,UP
ENC1,,0.021520348265767,,,,0.0325994417071342,0.0270598949864506,0.0270598949864506,0.0325994417071342,human,UP
IGSF6,,,,,,0.0268270317465066,0.0268270317465066,0.0268270317465066,0.0268270317465066,human,UP
HPGD,,,,,0.0266918763518333,,0.0266918763518333,0.0266918763518333,,human,UP
RPS7,0.0207386929541826,0.0645697861909866,-0.0238714162260293,0.0460944063961505,0.0256379600614309,,0.0266338858753442,0.0256379600614309,,human,UP
ADH5,,0.0266279634088277,,,,,0.0266279634088277,0.0266279634088277,,human,UP
