disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
Barrett's esophagus,EFO_0000280,name,0.05,83,0,0,230,7,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crohn's disease,EFO_0000384,name,0.05,0,0,0,1283,27,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast adenocarcinoma,EFO_0000304,name,0.05,70,0,0,512,9,12,1,0,0,1,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
esophagus squamous cell carcinoma,EFO_0005922,synonym,0.05,121,0,0,512,7,12,3,0,0,3,1.0,10.0,16.0,6.0,0.0,5.0,6.0,2.0,4.0,8.0,1.0,2.0,0.0,3.0,2.0
melanoma,EFO_0000756,name,0.05,6,116,0,2142,39,39,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
multiple sclerosis,MONDO_0005301,name,0.05,0,0,0,1885,43,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colitis,EFO_0003872,name,0.05,0,0,0,202,5,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acute Lung Injury,EFO_0004610,name,0.05,0,7,0,231,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chronic myeloid leukemia,EFO_0000339,synonym,0.05,51,67,1,794,16,23,2,3,0,5,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
interstitial cystitis,EFO_0008507,name,0.05,0,0,0,281,5,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung small cell carcinoma,EFO_0000702,synonym,0.05,21,0,0,1215,18,31,3,0,0,3,0.0,5.0,7.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0
autistic disorder,EFO_0003758,synonym,0.05,379,0,0,475,17,5,5,0,0,5,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
inflammatory bowel disease,EFO_0003767,name,0.05,379,5,1,538,11,7,7,0,0,7,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
