disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
abdominal aortic aneurysm,EFO_0004214,name,0.1,0,0,0,140,4,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankylosing spondylitis,EFO_0003898,name,0.1,318,18,2,634,12,9,9,1,1,9,0.0,0.0,7.0,7.0,7.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,1.0
adenoma,EFO_0000232,name,0.1,318,15,1,198,2,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond-Blackfan anemia,MONDO_0015253,name,0.1,187,120,0,145,4,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pseudomonas Infection,EFO_0001076,name,0.1,51,751,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung Injury,0,no_match,0.1,161,115,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiomyopathy,EFO_0000318,name,0.1,232,18,1,194,6,2,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morbid obesity,EFO_0001074,name,0.1,20,5,0,262,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nephroblastoma,Orphanet_654,name,0.1,223,213,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atherosclerosis,EFO_0003914,name,0.1,112,0,0,745,23,9,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intestinal metaplasia of gastric mucosa,0,no_match,0.1,139,56,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amyotrophic lateral sclerosis type 10,0,no_match,0.1,199,88,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovarian cancer,MONDO_0008170,name,0.1,183,589,12,1999,35,46,22,15,0,37,1.0,39.0,64.0,27.0,4.0,12.0,45.0,1.0,7.0,19.0,0.0,25.0,2.0,14.0,10.0
Rhinovirus infection,0,no_match,0.1,204,323,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast cancer,MONDO_0007254,name,0.1,378,24,1,4617,83,78,78,5,1,82,15.0,139.0,202.0,116.0,37.0,65.0,132.0,6.0,33.0,72.0,10.0,84.0,13.0,53.0,41.0
anaplastic thyroid carcinoma,EFO_1000595,synonym,0.1,274,21,1,113,2,6,6,0,0,6,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
precursor B lymphoblastic lymphoma leukemia,0,no_match,0.1,227,405,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hepatocellular carcinoma,EFO_0000182,name,0.1,124,76,0,1423,23,39,15,3,0,18,0.0,19.0,21.0,10.0,1.0,3.0,13.0,0.0,2.0,7.0,2.0,13.0,1.0,7.0,3.0
endometriosis,EFO_0001065,name,0.1,232,22,0,589,12,9,5,1,0,6,0.0,1.0,5.0,5.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
smoldering myeloma,EFO_0003073,synonym,0.1,255,327,9,125,2,2,2,1,0,3,1.0,3.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
childhood type dermatomyositis,EFO_0000557,synonym,0.1,373,19,0,160,4,2,2,0,0,2,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relapsing-remitting multiple sclerosis,EFO_0003929,name,0.1,249,732,20,816,19,9,6,7,0,13,1.0,7.0,11.0,4.0,4.0,2.0,12.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,3.0
Overexertion,0,no_match,0.1,97,933,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulmonary sarcoidosis,DOID_13406,name,0.1,187,514,6,83,3,1,0,2,0,2,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
facioscapulohumeral muscular dystrophy,MONDO_0001347,name,0.1,302,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dental cavity, complex",0,no_match,0.1,325,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ductal carcinoma in situ,EFO_0000432,synonym,0.1,231,114,0,425,10,8,5,4,0,9,1.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0
bacterial infectious disease,EFO_0000771,synonym,0.1,131,12,1,41,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancreatic ductal adenocarcinoma,MONDO_0005184,name,0.1,121,1,0,592,8,14,7,0,0,7,2.0,16.0,16.0,6.0,0.0,7.0,8.0,0.0,6.0,6.0,1.0,6.0,0.0,4.0,2.0
