drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_tahoe
CHEMBL3545110,RIBOCICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,LEE-011|LEE-011A|LEE011|LEE011A|Lee-011|NVP-LEE011|Ribociclib,Small molecule,Cyclin-dependent kinase 6 inhibitor,drug_common_name,ribociclib
CHEMBL467,HYDROXYUREA,Enzyme,Hidroxicarbamida|Hydroxycarbamide|Hydroxyurea|NSC-32065|SQ 1089|SQ-1089,Small molecule,Ribonucleoside-diphosphate reductase RR1 inhibitor,drug_common_name,hydroxyurea
CHEMBL553,ERLOTINIB,Enzyme,"CP-358,774|CP-358774|CP-35877401|Erlotinib|OSI-774|R-1415|RG-1415|Ro-508231",Small molecule,Epidermal growth factor receptor erbB1 inhibitor,drug_common_name,erlotinib
CHEMBL779,TADALAFIL,Enzyme,IC-351|IC351|LY-450190|LY450190|NSC-750236|NSC-759172|Tadalafil|Tadalafil mylan|Tadalafilo|Trans-tadalafil,Small molecule,Phosphodiesterase 5A inhibitor,drug_common_name,tadalafil
CHEMBL180022,NERATINIB,Enzyme,CDP-820|HKI-272|Neratinib|WAY-179272,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,drug_common_name,neratinib
CHEMBL1908360,EVEROLIMUS,Enzyme|Ion channel,40-o-(2-hydroxyethyl)-rapamycin|Everolimus|RAD 666|RAD-001|RAD-666|RAD001|SDZ-RAD|Sdz rad,Small molecule,FK506-binding protein 1A inhibitor,drug_common_name,everolimus
CHEMBL1946170,REGORAFENIB,Enzyme|Unclassified protein,BAY 73-4506|BAY 73-4506 monohydrate|BAY-73-4506|BAY-734506|Regorafenib|Regorafenib anhydrous|Regorafenib hydrate|Regorafenib monohydrate,Small molecule,Fibroblast growth factor receptor 1 inhibitor,drug_common_name,regorafenib
CHEMBL20,ACETAZOLAMIDE,Enzyme|Unclassified protein,Acetamox|Acetazolamida|Acetazolamide|Acetazolamidum|Atenezo|Defiltran|Didoc|Diuriwas|Donmox|Edemox|Glaupax|L 579486|NSC-145177|Nephramide|Phonurit,Small molecule,Carbonic anhydrase II inhibitor,drug_common_name,acetazolamide
CHEMBL2103875,TRAMETINIB,Unclassified protein|Enzyme,GSK-1120212|GSK1120212|JTP 74057|JTP-74057|TMT-212|TMT212|Tmt212|Trametinib,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,drug_common_name,trametinib
CHEMBL225071,RALTITREXED,Enzyme,Raltitrexed|ZD-16|ZD-1694|ZD1694,Small molecule,Thymidylate synthase inhibitor,drug_common_name,raltitrexed
CHEMBL3188267,CAPMATINIB,Enzyme,Capmatinib|INC-280|INC280|INCB-28060|INCB-28060 FREE BASE|Incb-28060|NVP-INC280|NVP-INC280-NX|NYP-INC280-NX,Small molecule,Hepatocyte growth factor receptor inhibitor,drug_common_name,capmatinib
CHEMBL3545376,ERDAFITINIB,Enzyme|Unclassified protein,Erdafitinib|JNJ-42756493|Jnj-42756493,Small molecule,Fibroblast growth factor receptor inhibitor,drug_common_name,erdafitinib
CHEMBL3989868,TUCATINIB,Enzyme,ARRY-380|Irbinitinib|MK-7119|ONT-380|Ont-380|Tucatinib,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,drug_common_name,tucatinib
CHEMBL4297190,SURUFATINIB,Enzyme,HMPL-012|Hmpl-012|Sulfatinib|Surufatinib,Small molecule,Vascular endothelial growth factor receptor inhibitor,drug_synonym,sulfatinib
CHEMBL483254,PANOBINOSTAT,Unclassified protein|Epigenetic regulator,LBH-589|LBH589|Panobinostat|Panobinostat hydrate,Small molecule,Histone deacetylase inhibitor,drug_common_name,panobinostat
CHEMBL408513,BELINOSTAT,Epigenetic regulator,Belinostat|NSC-726630|NSC726630|PX-105684|PXD-101|PXD101,Small molecule,Histone deacetylase inhibitor,drug_common_name,belinostat
CHEMBL6966,VERAPAMIL,Ion channel,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil slow release|Verapamilo",Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,verapamil
