drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL3989923,PITAVASTATIN MAGNESIUM,Unclassified protein|Enzyme,Pitavastatin magnesium,Small molecule,HMG-CoA reductase inhibitor
CHEMBL1237061,PITAVASTATIN CALCIUM,Unclassified protein|Enzyme,Itavastatin calcium|NK-104|Pitavastatin Calcium|Pitavastatin calcium|Pitavastatin calcium salt,Small molecule,HMG-CoA reductase inhibitor
CHEMBL2017179,EVACETRAPIB,Ion channel,Evacetrapib|LY-2484595|LY2484595,Small molecule,Cholesteryl ester transfer protein inhibitor
CHEMBL272621,HYODEOXYCHOLIC_ACID,Transcription factor,.alpha.-hyodeoxycholic acid|AHRO-001|HDCA|Hyodeoxycholic acid|Hyodeoxycholic_acid|Hyodesoxycholic acid|NSC-60672,Small molecule,LXR-alpha agonist
CHEMBL3137352,RALPANCIZUMAB,Membrane receptor|Enzyme,PF-05335810|RN-317|RN317|Ralpancizumab,Antibody,Subtilisin/kexin type 9 inhibitor
CHEMBL3545412,K-877,Transcription factor,K-877,Small molecule,Peroxisome proliferator-activated receptor alpha agonist
CHEMBL3945199,BMS-852927,Transcription factor,Bms-852927|EXEL-04541041|XL-041|XL-652,Small molecule,LXR-beta modulator
CHEMBL4298016,FROVOCIMAB,Membrane receptor|Enzyme,Frovocimab|LY-3015014|LY3015014|Ly3015014,Antibody,Subtilisin/kexin type 9 inhibitor
CHEMBL435224,LAPAQUISTAT ACETATE,Enzyme,Lapaquistat acetate|TAK 475|TAK-475,Small molecule,Squalene synthetase inhibitor
CHEMBL471897,MB07811,Transcription factor,MB-07811|MB07811|Mb-07811|Mb07811|VK2809|Vk-2809,Small molecule,Thyroid hormone receptor beta-1 agonist
CHEMBL900,ORPHENADRINE,Ion channel,Disipal|Invagesic|Mefenamine|Mialgin|Norflex|Norgesic|Orfenadrina|Orphenadrin|Orphenadrine|Orphengesic,Small molecule,Glutamate [NMDA] receptor antagonist
CHEMBL3707276,VOSORITIDE,Enzyme,BMN 111|BMN-111|Bmn 111|Vosoritida|Vosoritide|Voxzogo,Protein,Atrial natriuretic peptide receptor B binding agent
CHEMBL3545046,GSK2849466,Transcription factor,Gsk2849466,Small molecule,Androgen Receptor modulator
CHEMBL3545174,GSK2881078,Transcription factor,Gsk2881078,Small molecule,Androgen Receptor modulator
CHEMBL1257015,PICOTAMIDE,Membrane receptor,G-137|NSC-304384|Picotamide,Small molecule,Thromboxane A2 receptor inhibitor
CHEMBL2108250,ANISTREPLASE,Enzyme,APSAC|Anistreplasa|Anistreplase|BRL 26921|BRL-26921,Enzyme,Plasminogen activator
CHEMBL2108481,ANCROD,Secreted protein,"Acc-c|Ancrod|Arvin|Arwin|Ec 3.4.21.74|Protein c activator|Proteinase, agkistrodon serine|Venombin-a|Viprinex",Unknown,Fibrinogen hydrolytic enzyme
