"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"228",4326,-0.362836617342566,0,0,"MSE_endo","cmap","prochlorperazine",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","P9178","prochlorperazine dimaleate salt","C0770888","NULL","DB00433",1
"229",4993,-0.36179998640839,0,0,"MSE_endo","cmap","proxymetacaine",1.2e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","959","Proparacaine hydrochloride [5875-06-9]","NULL","5875-06-9","DB00807",1
"230",5766,-0.360886334524796,0,0,"MSE_endo","cmap","mepyramine",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","289","Pyrilamine maleate [59-33-6]","NULL","59-33-6","DB06691",1
"231",2287,-0.360431165004182,0,0,"MSE_endo","cmap","protriptyline",1.34e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","930","Protriptyline hydrochloride [1225-55-4]","C0700557","1225-55-4","DB00344",1
"232",1876,-0.360054793288978,0,0,"MSE_endo","cmap","ribostamycin",7.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","758","Ribostamycin sulfate salt [53797-35-6]","NULL","53797-35-6","DB03615",1
"233",4683,-0.358853240105198,0,0,"MSE_endo","cmap","nortriptyline",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","254","Nortriptyline hydrochloride [894-71-3]","C0028420","894-71-3","DB00540",1
"234",4328,-0.357596867864034,0,0,"MSE_endo","cmap","chlorpromazine",1e-06,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","C0982","chlorpromazine hydrochloride","C0008286","NULL","DB00477",1
"235",4272,-0.355985056287128,0,0,"MSE_endo","cmap","lisinopril",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","301","Lisinopril [83915-83-7]","C0065374","83915-83-7","DB00722",1
"236",5411,-0.355898103493264,0,0,"MSE_endo","cmap","verteporfin",2.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1105","Verteporfin [129497-78-5]","C0387288","129497-78-5","DB00460",1
"237",2315,-0.355608221163411,0,0,"MSE_endo","cmap","albendazole",1.5e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","247","Albendazole [54965-21-8]","C0001911","54965-21-8","DB00518",1
