gene_symbol,logfc_dz:839,logfc_dz:838,logfc_dz:848,logfc_dz:842,logfc_dz:843,logfc_dz:840,logfc_dz:841,logfc_dz:846,logfc_dz:847,logfc_dz:845,logfc_dz:844,logfc_dz:849,mean_logfc,median_logfc,common_experiment,organism,signature_type
RRM2,0.0458352416753768,,0.0389362312853336,0.0288912039250135,0.055813331156969,0.0291789341717958,,0.0251874513924121,,0.0266512483358383,0.0344719551503658,0.0662504881620407,0.039024009472794,0.0344719551503658,0.0458352416753768,human,UP
HSPB1,0.0202480424195528,0.02901510335505,,0.023848857730627,0.0376100614666938,0.0730274766683578,0.0322717800736427,0.0251827351748943,,0.0564215518534183,0.0482572093605995,,0.0384314242336485,0.0322717800736427,0.0202480424195528,human,UP
ANXA7,,,,,,,,,0.0382068045437336,,,,0.0382068045437336,0.0382068045437336,,human,UP
ALG8,,,0.0141129773110151,,,,,,0.0621657781302928,,,,0.038139377720654,0.038139377720654,,human,UP
MT1F,,,,0.0625603273510932,,,,,,,,0.0129513060674071,0.0377558167092502,0.0377558167092502,,human,UP
RSF1,,,,,,,,,0.0375493727624416,,,,0.0375493727624416,0.0375493727624416,,human,UP
CYC1,,,0.0375292785465717,,,,,,,,,,0.0375292785465717,0.0375292785465717,,human,UP
PARK7,0.0426919013261795,0.0199853610247373,0.0507216975092887,0.0347620025277137,0.0286367051303386,0.0796270072460174,0.0512960515916347,0.0156335439532995,-0.0218698810786008,0.0545267239212989,0.0544151999056339,,0.037311483005231,0.0426919013261795,0.0426919013261795,human,UP
KPNA2,0.0362018123269081,0.0267007295042276,0.0316240154206752,0.0329596064984798,0.0706011056900024,0.0329547561705112,0.0237512178719043,0.0423106662929058,0.0186329241842031,0.0418816059827804,0.0460156463086605,0.0428811311721801,0.0372096014519532,0.0345807094126939,0.0362018123269081,human,UP
H3F3AP4,0.0222702119499444,0.0247755926102399,0.0214136634021997,0.0479363687336444,0.032232329249382,,0.0716919153928756,-0.0173754841089248,0.0563194528222084,,0.0751159638166427,,0.0371533348742458,0.032232329249382,0.0222702119499444,human,UP
LOC100507328,,,,,,,,,0.0424079373478889,,,0.031858205795288,0.0371330715715885,0.0371330715715885,,human,UP
HIST1H4C,0.0474296063184738,,,0.0180688071995973,0.0441331975162029,0.0678674355149269,,0.0190075263381004,,,0.0253710392862558,0.0377717167139053,0.0370927612696375,0.0377717167139053,0.0474296063184738,human,UP
CYFIP1,0.027852738276124,0.0532146468758583,0.0248190555721521,0.0513852387666702,0.0516252815723419,0.0352408550679683,0.0301338639110326,,0.0259234625846147,0.0228685718029737,0.0432817004621028,0.0413087829947471,0.0370594725351441,0.0352408550679683,0.027852738276124,human,UP
TSPAN8,,,,0.0337564870715141,,0.0515437349677085,0.0349055081605911,,,,0.0268229749053716,,0.0367571762762963,0.0343309976160526,,human,UP
CYAT1,0.0254236254841089,0.0403822138905525,0.066697284579277,0.0338267311453819,,0.0562910437583923,0.0124391186982393,,,0.0445281229913234,0.0136183043941855,,0.0366508056176826,0.0371044725179672,0.0254236254841089,human,UP
ASS1,,,0.0858303755521774,,0.0226317066699266,0.0134628191590309,,,,,,0.0240818504244089,0.0365016879513859,0.0233567785471677,,human,UP
MT1X,,,,0.0364755801856517,,,,,,,,,0.0364755801856517,0.0364755801856517,,human,UP
CSRP2,,,,,,0.0364375002682209,,,,,,,0.0364375002682209,0.0364375002682209,,human,UP
FTH1P5,,0.0366706773638725,0.0649043321609497,0.016794366762042,0.0456596314907074,0.0738497525453567,0.0185771379619836,-0.021942812949419,,0.0253508239984512,0.0673162713646888,,0.0363533534109592,0.0366706773638725,,human,UP
CRELD2,0.0296323783695697,0.0468861386179924,,0.0495130978524684,0.0238693077117204,0.0285236593335866,0.0531747415661811,0.0228829421103,,0.0348457843065261,0.036379799246788,,0.0361897610127925,0.0348457843065261,0.0296323783695697,human,UP
DKK4,0.0392513051629066,0.0256954841315746,,0.0271217767149209,0.0144813330844044,,0.0737907811999321,,,,,,0.0360681360587477,0.0271217767149209,0.0392513051629066,human,UP
CEBPB,0.0189136564731597,0.0419972948729991,0.0677248388528823,,0.0195937417447567,,,-0.0162032153457403,0.0608263574540615,,0.0438899658620357,0.051116194576025,0.0359823543112725,0.0429436303675174,0.0189136564731597,human,UP
MT1E,,,,0.0358366183936595,,,,,,,,,0.0358366183936595,0.0358366183936595,,human,UP
BRD9,,,,,,0.0358027443289756,,,,,,,0.0358027443289756,0.0358027443289756,,human,UP
DEK,,,0.0388521291315555,,,0.0303818639367818,,,0.0513819307088851,,,0.0223748870193958,0.0357477026991546,0.0346169965341687,,human,UP
CKS2,0.038145724684,0.0128585686907172,0.0424260608851909,0.0275090634822845,0.0482223443686962,0.0479747429490089,0.0191340595483779,0.0264694020152091,,0.0348591580986976,0.0410934947431087,0.053989540785551,0.035698378204622,0.038145724684,0.038145724684,human,UP
DOK5,,,0.0350522622466087,,,,,,,,,,0.0350522622466087,0.0350522622466087,,human,UP
KRT18,0.0274241361767053,,0.0542653128504753,0.0302016753703355,0.0239667650312185,0.0446978062391281,0.0224489290267229,,,0.0363174229860305,0.04025175049901,,0.0349467247724533,0.033259549178183,0.0274241361767053,human,UP
UBAP2,,,,,,,,,0.0342956148087978,,,,0.0342956148087978,0.0342956148087978,,human,UP
HP,0.0445996671915054,0.0684446617960929,,0.017502499744296,,,0.0304396096616983,,,0.0280956234782934,0.0162738785147666,,0.0342259900644421,0.0292676165699958,0.0445996671915054,human,UP
TPK1,,,,,,,,,0.0341632664203643,,,,0.0341632664203643,0.0341632664203643,,human,UP
ZWINT,0.0422461219131946,,,0.0200907047837972,0.0473675355315208,0.0285947751253843,,0.0320217199623584,0.0176550075411796,0.0174817983061075,0.0549646019935607,0.0468173511326313,0.0341377351433038,0.0320217199623584,0.0422461219131946,human,UP
SOD1,0.0304011143743991,,,,0.0310745239257812,0.0305070858448743,,0.0308910179883241,0.0426229052245616,0.0271818079054355,0.0309787020087242,0.0487853288650512,0.0340553107671439,0.0309348599985241,0.0304011143743991,human,UP
PRKRIR,,,,,,0.0146458158269524,,,0.0534381903707981,,,,0.0340420030988752,0.0340420030988752,,human,UP
ATP1B1,0.0433797314763069,0.0378322713077068,0.0138634014874696,0.0327309854328632,,-0.0136142866685986,0.0525214672088623,0.0331090055406093,0.0139378868043422,0.0491799525916576,0.0607677586376667,0.0497493520379066,0.0339506841687993,0.0378322713077068,0.0433797314763069,human,UP
CTHRC1,0.0229063965380191,0.0243529677391052,,0.024459334090352,0.0860174223780632,0.0813797712326049,0.030015155673027,0.0119740236550569,0.0091123450547456,0.0150200016796588,,,0.0339152686711814,0.0243529677391052,0.0229063965380191,human,UP
HLA-B,0.0303359311074018,0.0646233260631561,,0.0273349322378635,0.0195193830877542,0.0363087952136993,0.0347536727786064,,,0.024325456470251,,,0.0338859281369618,0.0303359311074018,0.0303359311074018,human,UP
MT2A,0.0143710365518927,,,0.0542381331324577,,,,,,,,0.0322474166750907,0.0336188621198137,0.0322474166750907,0.0143710365518927,human,UP
DEFA5,,0.0244483556598424,,0.0144776590168476,,,0.0608778372406959,,,,,,0.0332679506391286,0.0244483556598424,,human,UP
DEFA6,,,,,,,0.0329273305833339,,,,,,0.0329273305833339,0.0329273305833339,,human,UP
CRISP3,,,,0.0329174362123012,,,,,,,,,0.0329174362123012,0.0329174362123012,,human,UP
HLA-E,,0.0324420742690563,,,,,,,,,,,0.0324420742690563,0.0324420742690563,,human,UP
CXXC5,0.0186046920716762,,0.0729696750640869,,,,,,0.0088616106659173,,,0.029219664633274,0.0324139106087386,0.0239121783524751,0.0186046920716762,human,UP
PSMA4,0.0518713742494583,0.0199658572673797,0.0208841450512409,0.0270826574414968,0.0434663146734237,0.0193357802927494,0.0384507961571216,0.0120883285999298,0.0333084501326084,0.0380986109375953,0.0250362548977136,0.0547775588929653,0.0320305107161402,0.0301955537870526,0.0518713742494583,human,UP
HLA-C,0.0414555072784423,0.0757496207952499,,0.0283513218164443,0.0205088313668966,0.0343497544527053,0.03306395560503,,0.009581227786839,0.0285950116813182,,0.0166120622307062,0.0320296992237369,0.0285950116813182,0.0414555072784423,human,UP
F13A1,,,,,,0.0319016203284263,,,,,,,0.0319016203284263,0.0319016203284263,,human,UP
POLR2H,,,0.0318905413150787,,,,,,,,,,0.0318905413150787,0.0318905413150787,,human,UP
MARCKSL1,0.0228535514324903,0.0353951044380664,0.0338061153888702,0.0217401757836341,0.0615483857691288,0.0254384335130453,0.0195350274443626,,0.0195372458547353,0.0302364751696586,0.0484535656869411,,0.0318544080480933,0.0278374543413519,0.0228535514324903,human,UP
NCOA4,0.0141093088313937,0.045833483338356,,0.022323153913021,0.0404263474047184,,,,0.0799648910760879,0.0186328552663326,0.0184073131531476,0.0148507552221417,0.0318185135256499,0.0204780045896768,0.0141093088313937,human,UP
HEY1,0.0550794899463653,0.0479553490877151,,0.0230054054409265,0.0330852270126342,0.0400317423045635,0.0166651550680398,0.0095861665904521,,0.0371032133698463,0.0216949936002492,,0.0315785269356436,0.0330852270126342,0.0550794899463653,human,UP
