gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism,signature_type
HMHA1,,,-0.0267867241054773,-0.0187882576137781,-0.0221540480852127,-0.022576343268156,-0.0221540480852127,,human,DOWN
ICAM3,,-0.0192041303962469,,-0.0258462876081466,,-0.0225252090021967,-0.0225252090021967,,human,DOWN
CCDC84,,,,,-0.0225057005882263,-0.0225057005882263,-0.0225057005882263,,human,DOWN
LINC01088,,,-0.0224820356816053,,,-0.0224820356816053,-0.0224820356816053,,human,DOWN
CPPED1,,-0.0240379869937896,,-0.0208569467067718,,-0.0224474668502807,-0.0224474668502807,,human,DOWN
C17orf62,,,,-0.0224107168614864,,-0.0224107168614864,-0.0224107168614864,,human,DOWN
SNHG1,,,,,-0.0223070494830608,-0.0223070494830608,-0.0223070494830608,,human,DOWN
IL10RA,,,-0.0222825016826391,,,-0.0222825016826391,-0.0222825016826391,,human,DOWN
NBPF8,,,,,-0.022277932614088,-0.022277932614088,-0.022277932614088,,human,DOWN
GBGT1,,-0.0238049160689115,,-0.020732544362545,,-0.0222687302157282,-0.0222687302157282,,human,DOWN
C15orf54,,,-0.0282054208219051,,-0.016284255310893,-0.022244838066399,-0.022244838066399,,human,DOWN
HLA-DRB4,,-0.0201924238353967,-0.0285542625933885,-0.0199721008539199,-0.0200075153261423,-0.0221815756522119,-0.0200999695807695,,human,DOWN
CDKN1C,,,,,-0.0221679657697677,-0.0221679657697677,-0.0221679657697677,,human,DOWN
IL1B,,-0.0272053182125091,,-0.0167746860533952,,-0.0219900021329522,-0.0219900021329522,,human,DOWN
IER3,,-0.0219533648341894,,,,-0.0219533648341894,-0.0219533648341894,,human,DOWN
MYO1F,,-0.0221365969628095,,-0.0216347649693489,,-0.0218856809660792,-0.0218856809660792,,human,DOWN
ZFP36,,-0.0218541324138641,,,,-0.0218541324138641,-0.0218541324138641,,human,DOWN
RSRP1,,,,,-0.0218508206307888,-0.0218508206307888,-0.0218508206307888,,human,DOWN
ALOX5AP,,-0.0172934737056493,,-0.0264059845358133,,-0.0218497291207313,-0.0218497291207313,,human,DOWN
IL1R2,,-0.0201038252562284,,-0.0235355179756879,,-0.0218196716159582,-0.0218196716159582,,human,DOWN
SNX10,,-0.0189365912228822,,-0.0245702136307954,,-0.0217534024268388,-0.0217534024268388,,human,DOWN
HNRNPA1,,,,,-0.0217405818402767,-0.0217405818402767,-0.0217405818402767,,human,DOWN
CSF2RB,,-0.0212079994380474,,-0.0222587417811155,,-0.0217333706095814,-0.0217333706095814,,human,DOWN
LOC401317,,,,,-0.0217330269515514,-0.0217330269515514,-0.0217330269515514,,human,DOWN
S100A4,,-0.0224316455423831,,-0.0259995441883802,-0.0167402289807796,-0.021723806237181,-0.0224316455423831,,human,DOWN
EMR1,,,,,-0.021664647385478,-0.021664647385478,-0.021664647385478,,human,DOWN
SNORD104,,,,,-0.0216406248509883,-0.0216406248509883,-0.0216406248509883,,human,DOWN
ARMC3,,,-0.0216124486178159,,,-0.0216124486178159,-0.0216124486178159,,human,DOWN
SLPI,,,,-0.0215010121464729,,-0.0215010121464729,-0.0215010121464729,,human,DOWN
CSF3R,,-0.0214956607669591,,,,-0.0214956607669591,-0.0214956607669591,,human,DOWN
LOC729307,,,,,-0.021495621651411,-0.021495621651411,-0.021495621651411,,human,DOWN
LYN,,-0.0232689138501882,,-0.0196452960371971,,-0.0214571049436926,-0.0214571049436926,,human,DOWN
LAMP5,,,-0.0213974826037883,,,-0.0213974826037883,-0.0213974826037883,,human,DOWN
USMG5,,,-0.021349536255002,,,-0.021349536255002,-0.021349536255002,,human,DOWN
GSAP,,,,,-0.0213370751589536,-0.0213370751589536,-0.0213370751589536,,human,DOWN
MMP8,,-0.0186600033193826,,,-0.0239429660141468,-0.0213014846667647,-0.0213014846667647,,human,DOWN
LOC101927907,,,,,-0.0212937928736209,-0.0212937928736209,-0.0212937928736209,,human,DOWN
LOC100507375,,,,,-0.0212863981723785,-0.0212863981723785,-0.0212863981723785,,human,DOWN
GLT1D1,,-0.0231599956750869,,-0.0192546583712101,,-0.0212073270231485,-0.0212073270231485,,human,DOWN
