"","pathway","unstratified","InII","IIInIV","PE","ESE","MSE","adipiodone","bepridil","cloperastine","cycloserine","fenoprofen","flumetasone","flunisolide","iopanoic acid","irinotecan","levonorgestrel","medrysone","metolazone","primaquine","procyclidine","promazine","scopolamine","sertaconazole","sulfamethoxazole","trifluoperazine","zuclopenthixol"
"21","APICAL_SURFACE",-1.10451877585211,0.456849946333242,-1.36385281782036,0.801098105998668,-0.93383946680267,-1.38713315259282,0.819896408450759,-0.946557722947449,-1.02412075023492,1.13764012085679,0.861898886824696,1.40544209924799,0.951306635010083,0.909631352253029,-1.37925069028,1.17649465119845,1.15656339265605,-0.815107489380696,-0.825334477479661,0.984124899877774,0.890860264850419,-0.949300565915463,0.965474479083101,-1.0083834192189,1.01855612552521,-0.953010477493089
"22","HEDGEHOG_SIGNALING",-0.802335859527681,-0.722316860227488,-1.00101204936675,-0.849921724995433,-0.74033305108665,1.04812857438455,-0.8454528535513,1.32240254773845,-1.02623233897025,-0.874536286674917,1.00653867693871,-0.865364233040204,-1.0614771009865,1.27391538149759,-0.802995778947095,1.11914957457847,1.18206774685988,-0.992302076959636,-1.42663315043037,-1.02336505903271,-1.62641668675884,-0.830630185495853,0.943214950502045,-1.08193348912737,-1.1085700606041,-0.689899585942391
"23","COMPLEMENT",0.874673750939435,0.807679509639547,0.89631069308544,1.07062008514646,0.711331328313112,1.18909336146162,-1.16516146462454,0.791507741755749,0.908095222572348,-1.26776626402477,0.92744482629657,-1.0232864589444,-0.860906404394851,0.782556662471757,0.938929027772486,0.955721694618577,1.04831167994918,0.91395275848793,-0.979949987906957,-0.909775815383533,-1.05570605161044,0.771612057042718,-1.03533474683873,-1.42526739816299,0.87129042753728,0.858089785014811
"24","UNFOLDED_PROTEIN_RESPONSE",0.592156991686289,0.802555212105616,0.584119123962556,1.17873360750273,-0.856718527895762,1.22733055226288,-0.607775388283332,-0.987920797690059,-0.347397766629372,-0.625956265967326,-0.779953093204985,-0.448288446356425,-0.623614104318465,-0.618446364410308,0.856786307421316,NA,NA,-0.655119250628978,-0.57969643704033,0.589057656014995,0.439921162706382,-0.541579306190587,-0.433740184748465,0.565438970616127,-0.68458722578184,-0.439363875159977
"25","PI3K_AKT_MTOR_SIGNALING",-1.16701854726716,1.27227813456787,-1.15502067911466,1.36732531157875,-1.27122160679407,-0.698905792402324,-0.890396597108184,0.711694995921332,-0.684726187308415,-0.730484033205937,-0.6083141230668,0.916478078460572,0.726490915345892,-0.827779386049363,-1.15476250438407,0.497276260634761,NA,-0.955225386058066,-0.862765075606929,-0.732860969093422,0.82861311756797,-0.896722957249125,-0.89584379223423,-1.24723838335022,0.629944729222233,0.871038490314405
"26","MTORC1_SIGNALING",2.08891726940837,1.15918408029907,1.69028563163389,1.85899709823365,1.68217279913365,1.04397737876472,-0.565207260335536,-0.886049238516163,0.632756806466806,-0.719296404115671,-0.458167932635785,-0.409018137783803,-0.739683128389016,-0.661432724297676,-0.727579579866654,NA,NA,-0.68054408309829,0.770201743482126,-0.948221158174141,0.331651732127766,0.332230348634683,-0.467624764249652,-0.423794991754635,0.492891376296799,0.338152850178763
"27","E2F_TARGETS",1.9798206701665,2.56820105858142,2.32567846917002,2.74879750096123,1.35331597109807,0.481266533919439,-0.544066172510307,-1.00575101062925,-0.885743426637407,-0.492792315327575,0.392778089806092,-0.271610465703642,-0.550763769978923,-0.920798344480551,-2.1049177537895,NA,NA,-1.34805847876169,-1.09426018017437,0.502350015420489,-0.551895904613722,0.28139579340087,-0.389332517680128,0.789339532996014,-1.86260487948112,-0.429539099644213
"28","MYC_TARGETS_V1",-1.11098067025891,2.05115861532077,1.12783854935903,1.99055291433378,0.777048981351221,-1.6184919752134,-1.10260356327227,-1.162679509184,-0.604341165478972,1.21987405152501,-0.72485476177514,-0.798676323700454,-0.805720972025035,-1.13387581963261,-0.80818206912168,NA,NA,-0.863151080830885,-0.6602242937809,-0.694314936477165,0.653044449071864,-1.20858545250403,0.782236808416166,0.932335247230869,-2.21272411889815,-0.865289207135862
"29","MYC_TARGETS_V2",1.19681386833847,1.6118153376025,1.17094101206015,1.30761809785352,0.837740210865524,0.643242015255357,-0.752763935339916,-1.40932939394596,-1.40921736366678,-0.697518328741554,-0.513745062872269,0.495378925694883,-0.556639280496871,-1.4127709477791,-0.588125526679812,-2.03418478238968,-1.72140290087475,0.906404244184692,0.795170598713202,0.526242657231663,0.59429707693003,-0.975570818423741,0.822245016124513,0.743104030922614,-2.58727608081934,-1.18844152576557
"30","EPITHELIAL_MESENCHYMAL_TRANSITION",1.3277044979228,1.15630724857698,1.70986029337465,1.11756041566648,-0.651977332574432,-1.92494183708095,-0.995783081585033,1.35232931564789,1.01436729011313,-1.07347978548307,0.953759455750705,-0.934024897054592,1.15144793432218,1.17408519963329,1.62146810074547,1.29366330906308,1.29627815995072,1.30843813777676,1.27129095746327,-1.03007626902565,1.05048963798565,1.10472063231457,-1.12696380939491,-0.897876814621595,1.2596144291732,0.979566855464131
