"","p","q","analysis_id","name","duration","DrugBank.ID","valid","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal"
"272",0,0,"cmap","theobromine",6,"DB01412",1,-0.359235096087982,NA,-0.414429038282247,NA,NA,-0.441627758125826
"273",0,0,"cmap","thiocolchicoside",6,"DB11582",1,-0.532687616785113,-0.476585873237688,-0.556204749570314,-0.446970846316532,-0.58971272928068,-0.563427584805702
"274",0,0,"cmap","thioridazine",6,"DB00679",1,-0.476701006433968,-0.382413043749745,-0.461163062465063,-0.38937201732217,-0.522703468414603,-0.368798609849232
"275",0,0,"cmap","tobramycin",6,"DB00684",1,-0.475222754793587,-0.528884521706397,-0.512342937574328,-0.490324896577449,-0.492047509897955,-0.452896396161678
"276",0,0,"cmap","tolbutamide",6,"DB01124",1,-0.410802639198137,-0.481943420592632,-0.441504340061253,-0.446416723613364,-0.464549832686053,-0.42097127195337
"277",0,0,"cmap","tolmetin",6,"DB00500",1,-0.412698333677539,-0.39125710875969,-0.404982773164053,-0.389554635763736,-0.403072632754893,-0.414309883626485
"278",0,0,"cmap","torasemide",6,"DB00214",1,-0.350344526775397,-0.415885210373669,-0.333473582204234,-0.426788158717686,NA,-0.39725143187695
"279",0,0,"cmap","tranylcypromine",6,"DB00752",1,-0.436600353456949,-0.412795298596969,-0.445832630800553,-0.390851875048356,-0.449181214504188,-0.426177351159636
"280",0,0,"cmap","trazodone",6,"DB00656",1,-0.473742792392012,-0.451766910308391,-0.485752082677831,-0.433307637081615,-0.530397914808759,-0.394665799299447
"281",0,0,"cmap","tretinoin",6,"DB00755",1,-0.552413446090288,-0.461270479489625,-0.534605574824914,-0.487943292759622,-0.480957013097611,-0.510128113472258
"282",0,0,"cmap","trifluoperazine",6,"DB00831",1,-0.608380827485609,-0.527323560857654,-0.608152090406404,-0.522722704810364,-0.711430270496981,-0.51129470685084
"283",0,0,"cmap","trifluridine",6,"DB00432",1,-0.290675947751437,-0.275835085242718,-0.269907453634503,-0.272227581911395,NA,-0.288404943461319
"284",0,0,"cmap","triflusal",6,"DB08814",1,-0.364547864976873,-0.42548580448878,-0.342276406211702,-0.410428139751302,NA,-0.396190455584652
"285",0,0,"cmap","trimetazidine",6,"DB09069",1,-0.426848843573334,NA,-0.434165653462202,-0.363742545601662,-0.457553586323102,-0.398621966168083
"286",0,0,"cmap","trimipramine",6,"DB00726",1,-0.490522126369413,-0.423328346980667,-0.552717763748026,-0.398628935319358,-0.559143072407402,-0.41778539128108
"287",0,0,"cmap","trioxysalen",6,"DB04571",1,-0.383351696643993,-0.381247201741397,-0.415414987584518,-0.384952759094506,-0.3685742595319,-0.372472564271759
"288",0,0,"cmap","triprolidine",6,"DB00427",1,NA,NA,NA,NA,NA,-0.283635477964229
"289",0,0,"cmap","troglitazone",6,"DB00197",1,-0.267571040042898,-0.229373353675669,-0.266871164131685,-0.199164752955069,-0.399056071738663,-0.236711886358579
"290",0,0,"cmap","tropicamide",6,"DB00809",1,-0.449286263586694,-0.465206475799575,-0.425747132198813,-0.484091340341559,-0.387051315782486,-0.490443357677123
"291",0,0,"cmap","tyloxapol",6,"DB06439",1,-0.404664256956879,-0.468918705790989,-0.428491134863258,-0.447670091248708,-0.376021499264444,-0.448078475824948
"292",0,0,"cmap","ursodeoxycholic acid",6,"DB01586",1,-0.329068183276995,-0.392404043938962,-0.312518985853151,-0.368859535946009,NA,-0.351304487896927
"293",0,0,"cmap","valproic acid",6,"DB00313",1,-0.534585483931231,-0.545953347623024,-0.549184970669989,-0.49997449825313,-0.531708336186132,-0.495421477168295
"294",0,0,"cmap","verteporfin",6,"DB00460",1,-0.277056748959755,-0.327336541268735,-0.289344319017096,-0.327542707861929,NA,-0.355898103493264
"295",0,0,"cmap","vidarabine",6,"DB00194",1,-0.399299515142905,-0.299595867708109,-0.361663530923077,-0.294655611875515,-0.362594111852384,-0.329854434952588
"296",0,0,"cmap","vorinostat",6,"DB02546",1,-0.327040760185633,-0.311947845130939,-0.334691953619732,-0.319670988564412,-0.456132497890364,-0.288598538069534
"297",0,0,"cmap","xylometazoline",6,"DB06694",1,-0.436410390533934,-0.433761224773378,-0.468710148229505,-0.437611597157117,-0.540700859772497,-0.454797635560928
"298",0,0,"cmap","zomepirac",6,"DB04828",1,-0.509235407446519,-0.450691604601208,-0.569423653194888,-0.45510276987872,-0.619597068571805,-0.552955541551977
"299",0,0,"cmap","zuclopenthixol",6,"DB01624",1,-0.689203413474968,-0.690746275778621,-0.712147303983641,-0.66159452049584,-0.711121737636401,-0.565870336244354
