"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
LUC7L2,0.0143953451358733,-0.0974612152904539,0.325,0.332,1
UNC119B,0.0144113170522006,-0.0853277137510686,0.088,0.101,1
ARHGEF15,0.0144706665579382,-0.134930321151985,0.111,0.164,1
TGIF1,0.0144718448445938,0.245335545079419,0.342,0.264,1
RPS27A,0.0144741320160048,-0.0857828228418827,0.947,0.954,1
PFDN1,0.0144807000768182,-0.160994420995122,0.295,0.356,1
SLC25A39,0.0144885630832924,-0.199806919802221,0.248,0.28,1
RBM22,0.0145523072808321,0.00895117481251362,0.3,0.293,1
VPS25,0.014563533786807,-0.172113639338633,0.18,0.246,1
SH3BGRL3,0.0145642542027308,0.310974771295424,0.761,0.714,1
MSX1,0.0145780133224382,0.205272458606789,0.273,0.195,1
AC007952.4,0.0146961301763412,-0.067000325794694,0.086,0.103,1
ARFIP1,0.0147077572567394,-0.0295024991536276,0.148,0.173,1
GHITM,0.0147311576665106,-0.199490788576802,0.322,0.348,1
RAB1A,0.014801354284596,0.094837402160052,0.422,0.367,1
TP53,0.0148024628956378,-0.169228938458559,0.161,0.201,1
OIP5-AS1,0.0148120071929476,-0.0959466106932455,0.205,0.236,1
CENPX,0.0148384694690205,-0.230386197518101,0.271,0.338,1
OLFM1,0.0149112780420719,-0.118172875545163,0.093,0.11,1
VEGFC,0.014921026735102,0.16860554331293,0.16,0.113,1
SARAF,0.014963556587242,0.304383929998683,0.508,0.424,1
PRKAA1,0.0149812661382066,-0.0277199032983659,0.232,0.209,1
CMSS1,0.0150044235988007,-0.109646347805097,0.172,0.202,1
HDAC7,0.0150323987294931,-0.0706806283604924,0.3,0.32,1
STT3B,0.015034708271566,-0.119358911404755,0.311,0.337,1
ATP9A,0.0150632272569856,0.0297144047487084,0.105,0.098,1
B3GALT6,0.0152103092163332,-0.0854193908612599,0.091,0.1,1
GMFG,0.0152127293968961,-0.325511987482583,0.319,0.386,1
SYNJ2BP,0.015299343290301,-0.173062007151186,0.138,0.18,1
PPP6R1,0.0153684078329501,-0.0390902095667803,0.134,0.138,1
ALCAM,0.0153745932853553,0.0172339199117836,0.106,0.087,1
NKIRAS2,0.0154183756138861,0.0232082599916382,0.143,0.143,1
CD302,0.0154231059442638,-0.0961515735943408,0.165,0.21,1
RNF138,0.0154617246380807,0.0286824856816595,0.18,0.175,1
AP5M1,0.0155018227556418,-0.0196756934020745,0.106,0.096,1
MRTO4,0.015517186738735,-0.124961101438663,0.179,0.187,1
MED6,0.015534346356245,0.0248275841817466,0.188,0.195,1
MIR4435-2HG,0.0155349051218217,0.200660035900925,0.367,0.295,1
SNRNP25,0.0155868855412098,-0.116171313587017,0.123,0.167,1
EIF1AX,0.0156546123164992,0.0346479298905342,0.537,0.522,1
NMI,0.0157051000252897,-0.181661482730189,0.119,0.189,1
EIF4G2,0.0157384329801772,0.0106717119784077,0.714,0.712,1
NOL7,0.0157469045656105,-0.152657994336645,0.387,0.436,1
RIN3,0.0157755005526246,0.0638539304455348,0.113,0.093,1
AURKAIP1,0.0157988710517478,-0.188109673320527,0.43,0.471,1
BIRC5,0.0158172274462562,-0.296921311985152,0.042,0.124,1
OBI1,0.0158292317185579,-0.0925743763298109,0.065,0.102,1
CWF19L2,0.0158438268375652,-0.101821944494513,0.142,0.162,1
RPAIN,0.0158785074881446,-0.114338129224944,0.326,0.348,1
RIPK1,0.0159319936818752,0.0225176712290584,0.106,0.098,1
IFRD1,0.0159635701540897,0.315122176503606,0.493,0.402,1
CDC37L1,0.015988198923189,0.0833657377108605,0.128,0.099,1
NSA2,0.0160013742571119,-0.210011446458806,0.536,0.563,1
HMGN3,0.0160332577907371,-0.29383145115365,0.422,0.494,1
SNHG30,0.0160415557508503,-0.0148722338675994,0.119,0.121,1
CDH11,0.0161268154346283,-0.117332582053988,0.233,0.25,1
TRAPPC4,0.0161375122503156,-0.0205418409159828,0.219,0.226,1
MT-CO3,0.0161593038423065,0.04155632094092,0.935,0.936,1
PCDH17,0.0162144649992129,-0.082624057705371,0.483,0.512,1
CLASP1,0.0162293587849906,-0.0116866456764176,0.098,0.117,1
COX16,0.0162435837983005,-0.209801460229922,0.379,0.446,1
SPTLC1,0.0162638314123165,-0.0525904958605559,0.216,0.221,1
OSBPL1A,0.0162788886735454,-0.0131305578911565,0.51,0.531,1
INIP,0.0163072491872817,-0.11409050550314,0.078,0.115,1
TSN,0.0163415361156764,-0.110653461757805,0.186,0.214,1
CCT4,0.0164611945741928,0.138232470106921,0.532,0.499,1
ARMCX6,0.016469550004429,-0.162777719169232,0.143,0.19,1
ATAD1,0.0165093279925549,-0.0765971594448854,0.144,0.16,1
ITGA2,0.0165388527741231,0.265548474703412,0.258,0.182,1
RPS3,0.0165865384041506,-0.0882069410089166,0.944,0.942,1
KDM6B,0.0166464890218303,0.54288792908748,0.455,0.285,1
GSPT1,0.016744351995002,0.013980291869093,0.411,0.388,1
ARHGDIB,0.0167818072560412,-0.583569304972958,0.35,0.492,1
CNP,0.0167926537433694,-0.132309982788006,0.122,0.163,1
DIMT1,0.0167979748906439,-0.0307698390475065,0.14,0.138,1
SNF8,0.0168779314896335,-0.177364251529577,0.253,0.291,1
CETN3,0.0169028086055263,-0.0937149612008816,0.071,0.124,1
CLSTN3,0.016923842800879,-0.119683559989073,0.201,0.211,1
