"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
10863,-0.767832158819167,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Brivudine",0.5,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
10985,-0.786868310325546,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Budesonide",0.0500000007450581,24,"ACH-000943","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11230,-0.810666201355483,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Busulfan",5,24,"ACH-000463","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11324,-0.715035731140026,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","CP21R7",0.5,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11400,-0.734531707916767,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Cabozantinib (S-malate)",0.0500000007450581,24,"ACH-000555","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11621,-0.812879469862509,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Canagliflozin",0.5,24,"ACH-000957","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11711,-0.70996724315021,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Canagliflozin (hemihydrate)",0.0500000007450581,24,"ACH-000997","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
11848,-0.619951836326791,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Capivasertib",0.0500000007450581,24,"ACH-000558","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
12108,-0.670008645270284,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Capmatinib",5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
12276,-0.675975071482109,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Captopril",5,24,"ACH-000521","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
12411,-0.792173353532069,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Carbamazepine",5,24,"ACH-000997","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
