gene_symbol,logfc_dz:693,logfc_dz:1075,logfc_dz:1074,logfc_dz:1073,logfc_dz:1079,logfc_dz:692,logfc_dz:691,logfc_dz:450,logfc_dz:512,logfc_dz:816,mean_logfc,median_logfc,common_experiment,organism
HBD,,,,,,,,0.022528745234012604,,0.03037656657397747,0.026452655903995037,0.026452655903995037,,human
ND6,,,,,,,,0.03392857313156128,,0.029960887506604195,0.03194473031908274,0.03194473031908274,,human
RGS18,,,,,,,,0.03565141558647156,,0.02976667694747448,0.03270904626697302,0.03270904626697302,,human
TERF2IP,,,,,,,,0.01335177943110466,,0.027333026751875877,0.02034240309149027,0.02034240309149027,,human
LUZP6,,,,,,,,0.014496136456727982,,0.027295034378767014,0.020895585417747498,0.020895585417747498,,human
PGAM1,,,,,,,,0.01796833425760269,,0.026164842769503593,0.022066588513553143,0.022066588513553143,,human
GNG11,,,,,,,,0.014548012055456638,,0.024576954543590546,0.019562483299523592,0.019562483299523592,,human
RAB31,,,,,,,,0.014478476718068123,,0.023932863026857376,0.01920566987246275,0.01920566987246275,,human
MMADHC,,,,,,,,0.01117614284157753,,0.019802723079919815,0.015489432960748672,0.015489432960748672,,human
RNF139,,,,,,,,0.019981801509857178,,0.017748581245541573,0.018865191377699375,0.018865191377699375,,human
AP3S1,,,,,,,,0.023360205814242363,,0.017153842374682426,0.020257024094462395,0.020257024094462395,,human
RAP2C,,,,,,,,0.015611546114087105,,0.016873370856046677,0.01624245848506689,0.01624245848506689,,human
PIM3,,,,,,,,0.010995148681104183,,0.016687916591763496,0.01384153263643384,0.01384153263643384,,human
IER5,,,,,,,,0.036106862127780914,,0.015647387132048607,0.02587712462991476,0.02587712462991476,,human
PPP1R15B,,,,,,,,0.015881378203630447,,0.015092279762029648,0.015486828982830048,0.015486828982830048,,human
HBG2,,,,,,,,0.02420518733561039,,-0.24180175364017487,-0.10879828315228224,-0.10879828315228224,,human
ABLIM1,,,,,,,,-0.02024768479168415,,-0.05659567564725876,-0.038421680219471455,-0.038421680219471455,,human
TSPAN13,,,,,,,,-0.012429453432559967,,-0.03253764286637306,-0.022483548149466515,-0.022483548149466515,,human
RPS16P5,,,,,,,,0.019705520942807198,,-0.026008620858192444,-0.003151549957692623,-0.003151549957692623,,human
HIST2H2BE,,,,,,,,0.01173196267336607,,-0.02185201458632946,-0.005060025956481695,-0.005060025956481695,,human
BZRAP1-AS1,,,,,,,,-0.01019348856061697,,-0.019143536686897278,-0.014668512623757124,-0.014668512623757124,,human
IRS2,,,,,,,,0.013398772105574608,,-0.017319807782769203,-0.0019605178385972977,-0.0019605178385972977,,human
NR4A2,,,,,,,,0.08734529465436935,,,0.08734529465436935,0.08734529465436935,,human
NFKBIZ,,,,,,,,0.08407870680093765,,,0.08407870680093765,0.08407870680093765,,human
PFKFB3,,,,,,,,0.07102213054895401,,,0.07102213054895401,0.07102213054895401,,human
IL1B,,,,,,,,0.06546185910701752,,,0.06546185910701752,0.06546185910701752,,human
HIST1H2AC,,,,,,,,0.042740631848573685,,,0.042740631848573685,0.042740631848573685,,human
HIST1H4C,,,,,,,,0.04171141982078552,,,0.04171141982078552,0.04171141982078552,,human
GABARAPL3,,,,,,,,0.04042917117476463,,,0.04042917117476463,0.04042917117476463,,human
ZNF331,,,,,,,,0.037708282470703125,,,0.037708282470703125,0.037708282470703125,,human
SERPINB2,,,,,,,,0.03527761995792389,,,0.03527761995792389,0.03527761995792389,,human
DUSP2,,,,,,,,0.033708296716213226,,,0.033708296716213226,0.033708296716213226,,human
CCL20,,,,,,,,0.031593140214681625,,,0.031593140214681625,0.031593140214681625,,human
CXCL3,,,,,,,,0.03066588006913662,,,0.03066588006913662,0.03066588006913662,,human
MYOM2,,,,,,,,0.029745882377028465,,,0.029745882377028465,0.029745882377028465,,human
NINJ1,,,,,,,,0.02940582111477852,,,0.02940582111477852,0.02940582111477852,,human
KMT2E,,,,,,,,0.028357841074466705,,,0.028357841074466705,0.028357841074466705,,human
GLA,,,,,,,,0.028056642040610313,,,0.028056642040610313,0.028056642040610313,,human
GTF2B,,,,,,,,0.027763688936829567,,,0.027763688936829567,0.027763688936829567,,human
NAMPT,,,,,,,,0.027624310925602913,,,0.027624310925602913,0.027624310925602913,,human
CXorf40B,,,,,,,,0.025692688301205635,,,0.025692688301205635,0.025692688301205635,,human
SELK,,,,,,,,0.02543606050312519,,,0.02543606050312519,0.02543606050312519,,human
CXorf40A,,,,,,,,0.024749217554926872,,,0.024749217554926872,0.024749217554926872,,human
FAM107B,,,,,,,,0.024729667231440544,,,0.024729667231440544,0.024729667231440544,,human
DENND6A,,,,,,,,0.02411710098385811,,,0.02411710098385811,0.02411710098385811,,human
PIK3R1,,,,,,,,0.023238293826580048,,,0.023238293826580048,0.023238293826580048,,human
EGR1,,,,,,,,0.022944975644350052,,,0.022944975644350052,0.022944975644350052,,human
DDX21,,,,,,,,0.02268342487514019,,,0.02268342487514019,0.02268342487514019,,human
ZC3H12D,,,,,,,,0.022644713521003723,,,0.022644713521003723,0.022644713521003723,,human
NR1D2,,,,,,,,0.022039853036403656,,,0.022039853036403656,0.022039853036403656,,human
KLHL15,,,,,,,,0.021875577047467232,,,0.021875577047467232,0.021875577047467232,,human
PRKAR2B,,,,,,,,0.021719198673963547,,,0.021719198673963547,0.021719198673963547,,human
MORC3,,,,,,,,0.021715138107538223,,,0.021715138107538223,0.021715138107538223,,human
UGCG,,,,,,,,0.021517857909202576,,,0.021517857909202576,0.021517857909202576,,human
RGPD6,,,,,,,,0.02128773182630539,,,0.02128773182630539,0.02128773182630539,,human
GADD45A,,,,,,,,0.02124706469476223,,,0.02124706469476223,0.02124706469476223,,human
SLTM,,,,,,,,0.019714899361133575,,,0.019714899361133575,0.019714899361133575,,human
CCNG1,,,,,,,,0.01915864460170269,,,0.01915864460170269,0.01915864460170269,,human
HIST1H3H,,,,,,,,0.01889878138899803,,,0.01889878138899803,0.01889878138899803,,human
DNTTIP2,,,,,,,,0.018194077536463737,,,0.018194077536463737,0.018194077536463737,,human
RNF125,,,,,,,,0.01799067296087742,,,0.01799067296087742,0.01799067296087742,,human
SCP2,,,,,,,,0.01792760007083416,,,0.01792760007083416,0.01792760007083416,,human
CXCL1,,,,,,,,0.01771538518369198,,,0.01771538518369198,0.01771538518369198,,human
FOSB,,,,,,,,0.017520980909466743,,,0.017520980909466743,0.017520980909466743,,human
TRBV27,,,,,,,,0.017321156337857246,,,0.017321156337857246,0.017321156337857246,,human
