gene_symbol,logfc_dz:596,logfc_dz:917,logfc_dz:453,logfc_dz:643,mean_logfc,median_logfc,common_experiment,organism
MGLL,,-0.011221418157219887,,-0.036063458770513535,-0.02364243846386671,-0.02364243846386671,-0.011221418157219887,human
FAU,,-0.010941816493868828,,-0.05412204563617706,-0.032531931065022945,-0.032531931065022945,-0.010941816493868828,human
HCAR3,,-0.010924548842012882,,,-0.010924548842012882,-0.010924548842012882,-0.010924548842012882,human
CNBP,,-0.010916642844676971,,,-0.010916642844676971,-0.010916642844676971,-0.010916642844676971,human
SMAGP,,-0.010903807356953621,,,-0.010903807356953621,-0.010903807356953621,-0.010903807356953621,human
PPP2R2A,,-0.010862693190574646,,,-0.010862693190574646,-0.010862693190574646,-0.010862693190574646,human
MAFB,,-0.010817835107445717,,-0.019277460873126984,-0.01504764799028635,-0.01504764799028635,-0.010817835107445717,human
RPL12,,-0.010807032696902752,,-0.06901396065950394,-0.039910496678203344,-0.039910496678203344,-0.010807032696902752,human
RPS10,,-0.010701595805585384,-0.010657541453838348,-0.035924408584833145,-0.01909451528141896,-0.010701595805585384,-0.010701595805585384,human
NMRK1,,-0.01067874114960432,,,-0.01067874114960432,-0.01067874114960432,-0.01067874114960432,human
TUBB3,,-0.01058192178606987,,,-0.01058192178606987,-0.01058192178606987,-0.01058192178606987,human
CEBPB,,-0.010546410456299782,,0.028443722054362297,0.008948655799031258,0.008948655799031258,-0.010546410456299782,human
RAB6C,,-0.010492401197552681,,,-0.010492401197552681,-0.010492401197552681,-0.010492401197552681,human
HK1,,-0.010477866977453232,,-0.016468843445181847,-0.01347335521131754,-0.01347335521131754,-0.010477866977453232,human
UBA52,,-0.010477599687874317,,-0.04925020784139633,-0.029863903764635324,-0.029863903764635324,-0.010477599687874317,human
PDLIM2,,-0.01041852030903101,,-0.029449032619595528,-0.01993377646431327,-0.01993377646431327,-0.01041852030903101,human
PFDN5,,-0.010415919125080109,,-0.018140776082873344,-0.014278347603976727,-0.014278347603976727,-0.010415919125080109,human
VAMP8,,-0.010387253016233444,,,-0.010387253016233444,-0.010387253016233444,-0.010387253016233444,human
PKP3,,-0.010331016965210438,,-0.01595544070005417,-0.013143228832632303,-0.013143228832632303,-0.010331016965210438,human
EIF3H,,-0.010198614560067654,,-0.012189844623208046,-0.01119422959163785,-0.01119422959163785,-0.010198614560067654,human
TSPO,,-0.010066376999020576,,-0.03504306450486183,-0.022554720751941204,-0.022554720751941204,-0.010066376999020576,human
GSTA4,,-0.010044435039162636,,-0.029368655756115913,-0.019706545397639275,-0.019706545397639275,-0.010044435039162636,human
S100A12,,-0.010027959942817688,,,-0.010027959942817688,-0.010027959942817688,-0.010027959942817688,human
RPL3,,-0.009951483458280563,,-0.05174728482961655,-0.030849384143948555,-0.030849384143948555,-0.009951483458280563,human
RPL22,,-0.009864768013358116,,-0.03896676376461983,-0.02441576588898897,-0.02441576588898897,-0.009864768013358116,human
SQRDL,,-0.009731762111186981,,,-0.009731762111186981,-0.009731762111186981,-0.009731762111186981,human
TMA7,,-0.009703722782433033,,-0.02158917859196663,-0.01564645068719983,-0.01564645068719983,-0.009703722782433033,human
UBL3,,-0.009678739123046398,,,-0.009678739123046398,-0.009678739123046398,-0.009678739123046398,human
EIF4H,,-0.009656626731157303,,,-0.009656626731157303,-0.009656626731157303,-0.009656626731157303,human
TIMM8B,,-0.009564257226884365,,-0.01733236014842987,-0.013448308687657118,-0.013448308687657118,-0.009564257226884365,human
EIF6,,-0.009553241543471813,,,-0.009553241543471813,-0.009553241543471813,-0.009553241543471813,human
KIAA0247,,-0.00949809979647398,,,-0.00949809979647398,-0.00949809979647398,-0.00949809979647398,human
WASF2,,-0.009472057223320007,,-0.017698626965284348,-0.013585342094302177,-0.013585342094302177,-0.009472057223320007,human
SPINT1,,-0.009459169581532478,,,-0.009459169581532478,-0.009459169581532478,-0.009459169581532478,human
CTSB,,-0.009347614832222462,-0.013364048674702644,,-0.011355831753462553,-0.011355831753462553,-0.009347614832222462,human
IER3,,-0.009321114979684353,,0.047751542180776596,0.01921521360054612,0.01921521360054612,-0.009321114979684353,human
PPP2CA,,-0.009220276027917862,,,-0.009220276027917862,-0.009220276027917862,-0.009220276027917862,human
GALNT1,,-0.009196479804813862,,,-0.009196479804813862,-0.009196479804813862,-0.009196479804813862,human
NT5C2,,-0.009082110598683357,-0.009833618998527527,,-0.009457864798605442,-0.009457864798605442,-0.009082110598683357,human
GABARAPL2,,-0.009037075564265251,,,-0.009037075564265251,-0.009037075564265251,-0.009037075564265251,human
HSPA1A,,-0.008943440392613411,-0.012247168458998203,-0.03719720244407654,-0.019462603765229385,-0.012247168458998203,-0.008943440392613411,human
BNIP3L,,-0.008928353898227215,,,-0.008928353898227215,-0.008928353898227215,-0.008928353898227215,human
GABRP,,-0.008885158225893974,,,-0.008885158225893974,-0.008885158225893974,-0.008885158225893974,human
ENDOU,,-0.008876954205334187,,-0.013254407793283463,-0.011065680999308825,-0.011065680999308825,-0.008876954205334187,human
LYPLA1,,-0.008871486410498619,,,-0.008871486410498619,-0.008871486410498619,-0.008871486410498619,human
OAZ1,,-0.008835125714540482,,-0.016264328733086586,-0.012549727223813534,-0.012549727223813534,-0.008835125714540482,human
RPL36,,-0.008778929710388184,,-0.0273093581199646,-0.01804414391517639,-0.01804414391517639,-0.008778929710388184,human
CREG1,,-0.008739683777093887,,,-0.008739683777093887,-0.008739683777093887,-0.008739683777093887,human
BAG3,,-0.008720095269382,,-0.015258267521858215,-0.011989181395620108,-0.011989181395620108,-0.008720095269382,human
IMPA2,,-0.008638028055429459,-0.009956910274922848,-0.04148387163877487,-0.02002626998970906,-0.009956910274922848,-0.008638028055429459,human
RPL29,,-0.008637792430818081,,-0.04246974736452103,-0.025553769897669554,-0.025553769897669554,-0.008637792430818081,human
GPR87,,-0.0086079565808177,,,-0.0086079565808177,-0.0086079565808177,-0.0086079565808177,human
ARF6,,-0.008519064635038376,,-0.018655583262443542,-0.01358732394874096,-0.01358732394874096,-0.008519064635038376,human
ATP5H,,-0.008461697958409786,,-0.0345233753323555,-0.021492536645382643,-0.021492536645382643,-0.008461697958409786,human
RPS9,,-0.008436804637312889,,-0.04812748730182648,-0.028282145969569683,-0.028282145969569683,-0.008436804637312889,human
PEBP1,,-0.008366650901734829,,-0.01638486422598362,-0.012375757563859224,-0.012375757563859224,-0.008366650901734829,human
EPS8L2,,-0.00835870485752821,,,-0.00835870485752821,-0.00835870485752821,-0.00835870485752821,human
C1orf116,,-0.008307518437504768,,,-0.008307518437504768,-0.008307518437504768,-0.008307518437504768,human
KRT10,,-0.008224639110267162,,,-0.008224639110267162,-0.008224639110267162,-0.008224639110267162,human
BLNK,,-0.008193567395210266,,,-0.008193567395210266,-0.008193567395210266,-0.008193567395210266,human
POLR1D,,-0.008165455423295498,,-0.013148331083357334,-0.010656893253326416,-0.010656893253326416,-0.008165455423295498,human
MXI1,,-0.00813273061066866,,-0.01845499686896801,-0.013293863739818335,-0.013293863739818335,-0.00813273061066866,human
REXO2,,-0.008131570182740688,,,-0.008131570182740688,-0.008131570182740688,-0.008131570182740688,human
PEA15,,-0.008082256652414799,,,-0.008082256652414799,-0.008082256652414799,-0.008082256652414799,human
H1F0,,-0.008075779303908348,-0.011778679676353931,-0.013135643675923347,-0.010996700885395208,-0.011778679676353931,-0.008075779303908348,human
PRSS3,,-0.00804468709975481,,0.01845773309469223,0.00520652299746871,0.00520652299746871,-0.00804468709975481,human
KLF5,,-0.008035233244299889,,,-0.008035233244299889,-0.008035233244299889,-0.008035233244299889,human
HLA-DPB1,,-0.00800174381583929,,,-0.00800174381583929,-0.00800174381583929,-0.00800174381583929,human
CITED2,,-0.007975512184202671,,,-0.007975512184202671,-0.007975512184202671,-0.007975512184202671,human
RIPK4,,-0.00793702993541956,,,-0.00793702993541956,-0.00793702993541956,-0.00793702993541956,human
PPIF,,-0.007854387164115906,,,-0.007854387164115906,-0.007854387164115906,-0.007854387164115906,human
CD59,,-0.00783472415059805,-0.011169209145009518,,-0.009501966647803783,-0.009501966647803783,-0.00783472415059805,human
OBFC1,,-0.007742004003375769,,-0.012324200943112373,-0.010033102473244071,-0.010033102473244071,-0.007742004003375769,human
VAPA,,-0.007724291644990444,,,-0.007724291644990444,-0.007724291644990444,-0.007724291644990444,human
JUNB,,-0.007701282389461994,,,-0.007701282389461994,-0.007701282389461994,-0.007701282389461994,human
PMAIP1,,-0.007645101752132177,,,-0.007645101752132177,-0.007645101752132177,-0.007645101752132177,human
TNIP1,,-0.0076446146704256535,,,-0.0076446146704256535,-0.0076446146704256535,-0.0076446146704256535,human
HIF1A,,-0.007639478892087936,-0.010175555013120174,,-0.008907516952604055,-0.008907516952604055,-0.007639478892087936,human
NHP2,,-0.007510678377002478,,-0.017647625878453255,-0.012579152127727866,-0.012579152127727866,-0.007510678377002478,human
TMEM45B,,,0.014511455781757832,,0.014511455781757832,0.014511455781757832,,human
CKMT1A,,,0.013141553848981857,,0.013141553848981857,0.013141553848981857,,human
MYO1A,,,0.011637263931334019,,0.011637263931334019,0.011637263931334019,,human
EZR,,,0.011115750297904015,,0.011115750297904015,0.011115750297904015,,human
CDHR2,,,0.010829366743564606,,0.010829366743564606,0.010829366743564606,,human
TMPRSS2,,,0.010493637062609196,,0.010493637062609196,0.010493637062609196,,human
PRDM10,,,0.010256657376885414,,0.010256657376885414,0.010256657376885414,,human
GCNT1,,,0.010105402208864689,,0.010105402208864689,0.010105402208864689,,human
