gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism
IGLV1-36,,0.015757840126752853,,,0.012096510268747807,,,,,,,0.01392717519775033,0.01392717519775033,,human
B2M,,0.01569594256579876,0.04587607830762863,,,,,,-0.08440662175416946,-0.046461500227451324,,-0.01732402527704835,-0.015382778830826283,,human
ATP5B,,0.015416556037962437,0.011626925319433212,,0.013531637378036976,,,,-0.015672605484724045,-0.03999495878815651,,-0.003018489107489586,0.011626925319433212,,human
HLA-DRA,,0.015401405282318592,0.05646992102265358,,0.01952054724097252,,,,,,,0.03046395784864823,0.01952054724097252,,human
PLEKHF2,,0.015176749788224697,,,,,,,,,,0.015176749788224697,0.015176749788224697,,human
ILF2,,0.015155144035816193,,,0.02907954342663288,,-0.010869666002690792,,,,,0.011121673819919428,0.015155144035816193,,human
GARS,,0.015071792528033257,,,0.01691247895359993,,,-0.037551864981651306,,0.023459944874048233,,0.004473087843507528,0.015992135740816593,,human
BZW2,,0.014984488487243652,,,0.01577586866915226,,,,,0.013630333356559277,,0.01479689683765173,0.014984488487243652,,human
LOC100287927,,0.01492526289075613,,,0.012895191088318825,,,,,,,0.013910226989537477,0.013910226989537477,,human
ESRP1,,0.014911252073943615,,,0.010511398315429688,,,,,,,0.012711325194686651,0.012711325194686651,,human
GNG10,,0.01486315205693245,,,0.02099349908530712,,,,,,,0.017928325571119785,0.017928325571119785,,human
FAR2P2,,0.01481624972075224,,,,,,,,,,0.01481624972075224,0.01481624972075224,,human
UBE2C,,0.014689919538795948,,,0.013702445663511753,,-0.017118094488978386,,,0.020174449309706688,,0.007862180005759,0.01419618260115385,,human
CERS2,,0.014660725370049477,-0.010573375970125198,,0.013479132205247879,,,,,-0.030457453802227974,,-0.003222743049263954,0.0014528781175613403,,human
SDC1,,0.014652492478489876,,0.04693744704127312,0.02185644954442978,,0.026077091693878174,,,,,0.027380870189517736,0.023966770619153976,,human
CD52,,0.014557421207427979,,,0.01552649587392807,,,,,,,0.015041958540678024,0.015041958540678024,,human
OAZ1,,0.014499688521027565,-0.020490599796175957,0.02028479613363743,0.01712961494922638,,,0.019113639369606972,,-0.05354328453540802,,-0.0005010242263476054,0.015814651735126972,,human
ATP6V0B,,0.014470393769443035,,,0.013311258517205715,,,,,,,0.013890826143324375,0.013890826143324375,,human
C20orf24,,0.01441278588026762,,,0.0163566917181015,,-0.014825260266661644,,0.012782084755599499,,,0.007181575521826744,0.01359743531793356,,human
PRDX1,,0.014398658648133278,,0.028197482228279114,-0.014474677853286266,,-0.015215381048619747,,0.016146225854754448,-0.02524901181459427,,0.0006338826691110929,-3.800960257649422e-05,,human
ALG8,,0.014387186616659164,,,,,,0.020182408392429352,,,,0.017284797504544258,0.017284797504544258,,human
IFI6,,0.014347906224429607,,0.02135593816637993,0.011081230826675892,,,,,,,0.015595025072495142,0.014347906224429607,,human
AIM1,,0.014316035434603691,-0.019067702814936638,,,,,,,,,-0.0023758336901664734,-0.0023758336901664734,,human
PCNA,,0.01429520919919014,,,0.011367213912308216,,-0.009578351862728596,,,-0.019760293886065483,,-0.0009190556593239307,0.0008944310247898102,,human
RAB13,,0.014198428019881248,,,0.023081714287400246,,,,,0.017043182626366615,,0.018107774977882702,0.017043182626366615,,human
RRM2,,0.0141866784542799,,,0.011286088265478611,,,,,-0.02965056151151657,,-0.0013925982639193535,0.011286088265478611,,human
