gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
MORN1,0.1387343690522389,0.1387343690522389,0.1387343690522389,human,UP
WDR63,0.1375185263794996,0.1375185263794996,0.1375185263794996,human,UP
AP003498.2,0.137221596241694,0.137221596241694,0.137221596241694,human,UP
ATP6AP1,0.1366825013800528,0.1366825013800528,0.1366825013800528,human,UP
CSNK1G3,0.1365286496603604,0.1365286496603604,0.1365286496603604,human,UP
CSNK1G2,0.1351588980527967,0.1351588980527967,0.1351588980527967,human,UP
GLRX,0.1348057908488167,0.1348057908488167,0.1348057908488167,human,UP
ACYP2,0.1340362892073961,0.1340362892073961,0.1340362892073961,human,UP
RFC1,0.133061677491195,0.133061677491195,0.133061677491195,human,UP
BFAR,0.1330106274486171,0.1330106274486171,0.1330106274486171,human,UP
MSH3,0.1318704938929675,0.1318704938929675,0.1318704938929675,human,UP
TAOK1,0.1313649230319994,0.1313649230319994,0.1313649230319994,human,UP
RASSF6,0.1303049580667326,0.1303049580667326,0.1303049580667326,human,UP
SCAMP3,0.130248400104794,0.130248400104794,0.130248400104794,human,UP
PABPC1,0.1291025485211172,0.1291025485211172,0.1291025485211172,human,UP
ILF3-DT,0.1289435187166708,0.1289435187166708,0.1289435187166708,human,UP
CALR,0.1283804969377371,0.1283804969377371,0.1283804969377371,human,UP
CIRBP,0.1280633639222346,0.1280633639222346,0.1280633639222346,human,UP
BTG2,0.1274597607350247,0.1274597607350247,0.1274597607350247,human,UP
FNIP2,0.127391786637599,0.127391786637599,0.127391786637599,human,UP
APOBEC3G,0.1265538672485081,0.1265538672485081,0.1265538672485081,human,UP
ISCU,0.1264099588580643,0.1264099588580643,0.1264099588580643,human,UP
DAW1,0.1259827793755907,0.1259827793755907,0.1259827793755907,human,UP
KIAA2012,0.1253803026879914,0.1253803026879914,0.1253803026879914,human,UP
ITPK1,0.1249300954701247,0.1249300954701247,0.1249300954701247,human,UP
LINC01571,0.1247742997501913,0.1247742997501913,0.1247742997501913,human,UP
RBMX,0.1244581526710855,0.1244581526710855,0.1244581526710855,human,UP
UBE2K,0.1244244594950777,0.1244244594950777,0.1244244594950777,human,UP
RPS11,0.1239051854731441,0.1239051854731441,0.1239051854731441,human,UP
IGF2R,0.1238938306009048,0.1238938306009048,0.1238938306009048,human,UP
EPPK1,0.1234524302593749,0.1234524302593749,0.1234524302593749,human,UP
ANP32B,0.1234320569806725,0.1234320569806725,0.1234320569806725,human,UP
MRPL14,0.1233017534267133,0.1233017534267133,0.1233017534267133,human,UP
POLK,0.1228598014421407,0.1228598014421407,0.1228598014421407,human,UP
USP33,0.1226884233237397,0.1226884233237397,0.1226884233237397,human,UP
TM9SF1,0.1218390422207276,0.1218390422207276,0.1218390422207276,human,UP
GRN,0.1218142244760929,0.1218142244760929,0.1218142244760929,human,UP
DNAL1,0.1211830293730272,0.1211830293730272,0.1211830293730272,human,UP
ERICH5,0.1209751962347384,0.1209751962347384,0.1209751962347384,human,UP
TMEM50A,0.1204480182855825,0.1204480182855825,0.1204480182855825,human,UP
BTG1,0.1203135337966181,0.1203135337966181,0.1203135337966181,human,UP
SARAF,0.1199587591246556,0.1199587591246556,0.1199587591246556,human,UP
FEM1B,0.1191375944359069,0.1191375944359069,0.1191375944359069,human,UP
