creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
primary_open_angle_glaucoma,EFO_0004190,open-angle glaucoma,"pigmentary glaucoma|primary open angle glaucoma|open-angle glaucoma|glaucoma (primary open-angle)|glaucoma, open-angle|open angle glaucoma|wide-angle glaucoma|POAG|glaucoma, primary open angle|glaucoma simplex","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0004190', 'name': 'EFO_0004190'}}",synonym_match,Visual System
prolactinoma,EFO_1000496,Prolactin-Producing Pituitary Gland Adenoma,"lactotroph cell adenoma|pituitary lactotrophic adenoma|prolactin secreting adenoma of pituitary|pituitary prolactinoma|prolactin producing adenoma of the pituitary|PRL-secreting pituitary adenoma|prolactinoma of pituitary gland|lactotrope adenoma|prolactin producing adenoma of pituitary|prolactin secreting adenoma|prolactin secreting adenoma of pituitary gland|prolactin secreting pituitary gland adenoma|prolactin producing pituitary adenoma|PRL producing pituitary gland adenoma|prolactin secreting adenoma of the pituitary gland|prolactinoma|prolactin producing adenoma of pituitary gland|prolactin producing pituitary gland adenoma|prolactin-secreting pituitary adenoma|prolactinoma of the pituitary gland|lactotroph adenoma|prolactinoma of pituitary|prolactin producing adenoma of the pituitary gland|prolactin secreting adenoma of the pituitary|prolactin-producing pituitary gland adenoma|pituitary gland prolactinoma|familial prolactinoma|prolactinoma of the pituitary|pituitary adenoma, prolactin-secreting|PRLoma|prolactin secreting pituitary adenoma|prolactinoma, familial|Forbes-Albright syndrome (formerly)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000496', 'name': 'EFO_1000496'}}",synonym_match,Musculoskeletal|Reproductive/Breast|Cancer/Tumor|Genetic/Congenital|Endocrine System|Nervous System
prostate_cancer,MONDO_0008315,prostate cancer,"malignant neoplasm of the prostate|malignant neoplasm of prostate|prostatic cancer|malignant prostate neoplasm|malignant prostate tumor|malignant tumor of prostate|NGP - new growth of prostate|malignant neoplasm of prostate gland|malignant tumour of prostate|malignant tumour of the prostate|malignant prostate gland neoplasm|prostate gland cancer|cancer of prostate gland|malignant prostate tumour|malignant tumor of the prostate|prostate cancer, familial|hereditary prostate cancer|prostatic neoplasm|prostate neoplasm|tumor of the prostate|tumour of the prostate","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0008315', 'name': 'MONDO_0008315'}}",name_match,Reproductive/Breast|Cancer/Tumor
psoriasis,EFO_0000676,psoriasis,Other psoriasis and similar disorders (disorder)|Psoriasis and similar disorders (navigational concept)|Other and unspecified pityriasis|OTHER PSORIASIS|Pustular Psoriasis of Palms and Soles|psoriasis|PUSTULOSIS OF PALMS SOLES|Other psoriasis and similar disorders excluding psoriatic arthropathy|Psoriasis and similar disorders (disorder)|Other psoriasis and similar disorders|Psoriases|PSORIAS RELATED DIS NEC|PITYRIASIS NEC & NOS|Psoriasis and similar disorders|Palmoplantaris Pustulosis|Pustulosis Palmaris et Plantaris|PUSTULAR PSORIASIS OF PALMS SOLES|Psoriasis and similar disorders NOS (disorder)|Pustulosis of Palms and Soles|Psoriasis and similar disorders NOS,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000676', 'name': 'EFO_0000676'}}",name_match,Immune System|Genetic/Congenital|Skin/Integumentary
psoriatic_arthritis,EFO_0003778,psoriatic arthritis,"Arthritic Psoriasis|PsA|psoriatic arthritis|arthropathic psoriasis|Arthritis, Psoriatic|arthritis psoriatica|Psoriasis, Arthritic|Psoriasis Arthropathica|psoriatic arthritis, susceptibility to|psoriatic arthritis, susceptibility to, 1|psoriatic arthropathy|susceptibility to psoriatic arthritis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003778', 'name': 'EFO_0003778'}}",name_match,Immune System|Musculoskeletal
pulmonary_fibrosis,EFO_0009448,pulmonary fibrosis,fibrosis of lung|pulmonary fibrosis|pulmonary interstitial fibrosis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0009448', 'name': 'EFO_0009448'}}",name_match,Cancer/Tumor|Respiratory
pulmonary_hypertension,MONDO_0005149,pulmonary hypertension,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005149', 'name': 'MONDO_0005149'}}",name_match,Cardiovascular
pulmonary_sarcoidosis,DOID_13406,pulmonary sarcoidosis,"pulmonary sarcoidosis|sarcoidosis of lung|Sarcoidosis, Pulmonary|lung Sarcoidosis|lung sarcoidosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/DOID_13406', 'name': 'DOID_13406'}}",name_match,Musculoskeletal|Respiratory
relapsing-remitting_multiple_sclerosis,EFO_0003929,relapsing-remitting multiple sclerosis,"Remitting-Relapsing Multiple Sclerosis|Relapsing-remitting MS|Multiple Sclerosis, Relapsing-Remitting|RRMS|relapsing-remitting multiple sclerosis|Relapsing Remitting Multiple Sclerosis|Multiple Sclerosis, Acute Relapsing|Remitting Relapsing Multiple Sclerosis|Multiple Sclerosis, Remitting-Relapsing|MS RELAPSING REMITTING|Multiple Sclerosis, Relapsing Remitting|Acute Relapsing Multiple Sclerosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003929', 'name': 'EFO_0003929'}}",name_match,Nervous System|Immune System
renal_cell_carcinoma,EFO_0000681,renal cell carcinoma,renal cell carcinoma|renal cell carcinoma (disease)|RCC|hypernephroma|kidney adenocarcinoma|kidney adenocarcinoma|renal cell adenocarcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000681', 'name': 'EFO_0000681'}}",name_match,Urinary System|Cancer/Tumor
rheumatoid_arthritis,EFO_0000685,rheumatoid arthritis,"arthritis, rheumatoid|Arthritis or polyarthritis, rheumatic|atrophic Arthritis|rheumatoid arthritis|RA|Chronic rheumatic arthritis|RA - Rheumatoid arthritis|Rheumatoid disease|Rheumatoid arthritis NOS|Rheumatoid arthritis NOS (disorder)|autoimmune arthritis|rheumatoid arthritis, progression of|arthritis or polyarthritis, rheumatic|RhA - Rheumatoid arthritis|Rheumatoid arthritis (disorder)|Arthritis, Rheumatoid|Rheumatic gout|Proliferative arthritis|rheumatoid arthritis, susceptibility to|atrophic arthritis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000685', 'name': 'EFO_0000685'}}",name_match,Immune System|Musculoskeletal
salivary_gland_adenoid_cystic_carcinoma,MONDO_0003175,salivary gland adenoid cystic carcinoma,adenoid cystic carcinoma of the salivary gland|cylindroma (morphologic abnormality)|adenoid cystic carcinoma of salivary gland|salivary gland adenoid cystic cancer|saliva-secreting gland adenoid cystic carcinoma|salivary gland adenoid cystic carcinoma|adenoid cystic cancer|adenoid cystic carcinoma (morphologic abnormality),"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0003175', 'name': 'MONDO_0003175'}}",name_match,Cancer/Tumor|Gastrointestinal
sarcoidosis,MONDO_0019338,sarcoidosis,Boeck's sarcoidosis|Boeck sarcoid|Darier-Roussy sarcoid|sarcoid|besnier-Boeck-Schaumann syndrome|sarcoidosis|Besnier-Boeck-Schaumann disease|lymphogranulomatosis|Boeck's sarcoid|miliary lupoid of boeck|benign lymphogranulomatosis of Schaumann|lupus pernio of Besnier,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019338', 'name': 'MONDO_0019338'}}",name_match,Musculoskeletal
scleroderma,EFO_1001993,scleroderma,"scleroderma (disease)|linear scleroderma|Morphea ""en coup de sabre""|dermatosclerosis|scleroderma|morphea|localized scleroderma","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001993', 'name': 'EFO_1001993'}}",name_match,Musculoskeletal|Immune System|Visual System|Genetic/Congenital
serous_cystadenocarcinoma,MONDO_0024621,serous cystadenocarcinoma,serous cystadenocarcinoma|serous adenocarcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0024621', 'name': 'MONDO_0024621'}}",name_match,Cancer/Tumor
severe_acute_respiratory_syndrome,EFO_0000694,severe acute respiratory syndrome,"SARS coronavirus disease or disorder|Respiratory Syndrome, Severe Acute|SARS-associated coronavirus|Severe acute respiratory syndrome (disorder)|SARS ASSOC CORONAVIRUS|acute respiratory coronavirus infection|Respiratory Syndrome, Acute, Severe|SARS|SARS coronavirus infectious disease|SARS-CoV infection|severe acute respiratory syndrome|SARS coronavirus caused disease or disorder","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000694', 'name': 'EFO_0000694'}}",name_match,Infectious Disease|Respiratory
sickle_cell_anemia,MONDO_0011382,sickle cell anemia,"drepanocytosis|Hemoglobin S disease without crisis|sickling disorder due to Hemoglobin S|sickle-cell/Hb-C disease without crisis|Hb SC disease|Hb-S/Hb-C disease|Haemoglobin S disease without crisis|Hb-SS disease without crisis|Sickle Cell Disease|haemoglobin SC disease|sickle cell anemia|sickle cell disease|hemoglobin SC disease|sickling disorder due to Haemoglobin S|Hemoglobin S disease|HPA 1 recognition polymorphism, beta-globin-related|HbS disease|restriction fragment length polymorphism, sickle cell Anemia-related|HPA1|Haemoglobin S disease","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0011382', 'name': 'MONDO_0011382'}}",name_match,Hematologic|Genetic/Congenital
skin_squamous_cell_carcinoma,MONDO_0002529,skin squamous cell carcinoma,squamous cell carcinoma of the skin|cutaneous squamous cell carcinoma|skin squamous cell carcinoma|epidermoid carcinoma of the skin|squamous cell carcinoma - skin|zone of skin squamous cell carcinoma|epidermoid skin carcinoma|epidermoid carcinoma of skin|skin squamous cell cancer|squamous cell skin carcinoma|squamous cell carcinoma of skin|CSCC,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002529', 'name': 'MONDO_0002529'}}",name_match,Cancer/Tumor|Skin/Integumentary
smoldering_myeloma,EFO_0003073,asymptomatic myeloma,smoldering Multiple myeloma/plasma cell myeloma|asymptomatic plasma cell myeloma|smouldering Multiple myeloma/plasma cell myeloma|asymptomatic myeloma|smoldering multiple myeloma|smoldering myeloma|smouldering multiple myeloma|smouldering myeloma|smoldering plasma cell myeloma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003073', 'name': 'EFO_0003073'}}",synonym_match,Immune System|Hematologic|Cancer/Tumor|Genetic/Congenital
sporadic_breast_cancer,,,,,no_match,
stomach_cancer,EFO_0003897,stomach neoplasm,"Neoplasm, Gastric|Cancers, Gastric|Cancers, Stomach|NEOPL GASTRIC|Neoplasms, Stomach|Gastric Neoplasm|GASTRIC NEOPL|gastric tumour|stomach tumor|stomach neoplasm|stomach tumour|tumor of the stomach|tumour of stomach|gastric neoplasm|gastric tumor|tumor of stomach|STOMACH NEOPL|Neoplasm, Stomach|tumour of the stomach|neoplasm of stomach|Neoplasms, Gastric|Stomach Neoplasms|neoplasm of the stomach|Stomach Cancer|Gastric Neoplasms|Gastric Cancers|Cancer of Stomach|NEOPL STOMACH|Cancer, Stomach|Gastric Cancer|Stomach Cancers|Cancer, Gastric|Cancer of the Stomach|stomach neoplasm (disease)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003897', 'name': 'EFO_0003897'}}",synonym_match,Cancer/Tumor|Gastrointestinal
swine_influenza,EFO_0005226,swine influenza,H1N1 Virus infection|SIV|swine flu|Influenza A (H1N1)|swine influenza|H1N1 flu|Swine influenza virus caused influenza|Swine influenza virus influenza|Influenza A (H1N1) Virus infection|H1N1 Influenza,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005226', 'name': 'EFO_0005226'}}",name_match,Respiratory|Infectious Disease
systemic_lupus_erythematosus,MONDO_0007915,systemic lupus erythematosus,"disseminated lupus erythematosus|lupus erythematosus, systemic|Lupus|SLE|systemic lupus erythematosus|systemic lupus erythematosus (disease)|systemic lupus erythematosus, susceptibility to|SLE - lupus erythematosus, systemic|systemic lupus erythematosus susceptibility to|excess LMW-DNA|excess lymphocyte low molecular weight DNA|lupus nephritis, susceptibility to","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0007915', 'name': 'MONDO_0007915'}}",name_match,Musculoskeletal|Immune System|Urinary System
tendinitis,MONDO_0004857,tendinitis,tendon inflammation|tendonitis|inflammation of tendon,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004857', 'name': 'MONDO_0004857'}}",name_match,Immune System|Musculoskeletal
testicular_cancer,EFO_0005088,testicular carcinoma,malignant tumor of testis|testicular cancer|malignant tumour of the testis|malignant neoplasm of testis|malignant testicular tumour|malignant tumor of the testis|testis cancer|cancer of testis|malignant testicular tumor|malignant testicular neoplasm|malignant neoplasm of the testis|malignant testis neoplasm|malignant tumour of testis|paediatric testicular neoplasm|testicular tumour|testicular tumor|testis neoplasm,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005088', 'name': 'EFO_0005088'}}",synonym_match,Cancer/Tumor|Endocrine System|Reproductive/Breast
testis_seminoma,EFO_0003101,testicular seminoma,testicular seminomatous germ cell tumour|testis seminoma|seminoma testis|testicular seminoma|testicular seminomatous germ cell tumor|seminomatous germ cell tumor of testis|testicular seminoma Pure|seminoma of the testis|seminomatous germ cell tumour of testis|seminoma of testis|testicular seminoma (disease),"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003101', 'name': 'EFO_0003101'}}",synonym_match,Reproductive/Breast|Endocrine System|Cancer/Tumor
tuberculosis,MONDO_0018076,tuberculosis,tuberculosis disease|Kochs disease|TB|active tuberculosis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0018076', 'name': 'MONDO_0018076'}}",name_match,Infectious Disease
type_1_diabetes_mellitus,MONDO_0005147,type 1 diabetes mellitus,IDDM|juvenile diabetes|immune mediated diabetes|T1D|type 1 diabetes|insulin-dependent diabetes mellitus|diabetes mellitis type I|type I diabetes mellitus|T1DM|diabetes mellitis type 1|type I diabetes|insulin dependent diabetes,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005147', 'name': 'MONDO_0005147'}}",name_match,Pancreas|Endocrine System|Gastrointestinal|Immune System|Metabolic
type_2_diabetes_mellitus,MONDO_0005148,type 2 diabetes mellitus,"non-insulin dependent diabetes mellitus|diabetes mellitis type II|diabetes mellitus, type 2|diabetes mellitus, type II|adult onset diabetes|non-insulin dependent diabetes|type II diabetes|diabetes mellitus, noninsulin-dependent, association with|diabetes mellitus, noninsulin-dependent, late onset|T2DM - type 2 diabetes mellitus|insulin resistance, severe, digenic|diabetes mellitus, noninsulin-dependent|non-insulin-dependent diabetes mellitus|noninsulin-dependent diabetes mellitus|adult-onset diabetes|type 2 diabetes|T2DM|type 2 diabetes mellitus|diabetes mellitis type 2|diabetes, type 2|NIDDM|type 2 diabetes mellitus non-insulin dependent|T2D|noninsulin dependent diabetes|type II diabetes mellitus|diabetes mellitus, noninsulin-dependent, susceptibility to|diabetes mellitus, type 2, susceptibility to|diabetes mellitus, type II, susceptibility to|hypertension, insulin resistance-related, susceptibility to|insulin resistance, susceptibility to|diabetes mellitus, non-insulin-dependent, susceptibility to|type 2 diabetes mellitus, susceptibility to|diabetes mellitus, type 2, protection against|maturity-onset diabetes|diabetes mellitus, noninsulin-dependent, 2","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005148', 'name': 'MONDO_0005148'}}",name_match,Pancreas|Endocrine System|Metabolic
ulcerative_colitis,EFO_0000729,ulcerative colitis,"UC|colitis ulcerative|Left-sided ulcerative (chronic) colitis|Ulcerative colitis, unspecified|ulcerative colitis|ulcerative colitis (disease)|UC - ulcerative colitis|Other ulcerative colitis (disorder)|ulcerative colitis (disorder)|Left-sided ulcerative colitis|Other ulcerative colitis|ULCERATVE COLITIS UNSPCF|Colitis, Ulcerative|ulcerative proctosigmoiditis|left-sided ulcerative colitis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000729', 'name': 'EFO_0000729'}}",name_match,Gastrointestinal|Genetic/Congenital|Immune System
urticaria,EFO_0005531,urticaria,hives|urticaria|urticaria (disease)|Urticarias,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005531', 'name': 'EFO_0005531'}}",name_match,Skin/Integumentary
uterine_fibroid,EFO_0000731,uterine fibroid,"body of uterus leiomyoma|fibroid of the corpus uteri|leiomyoma of the body of uterus|uterine body leiomyoma|fibroid of uterine corpus|leiomyoma of the uterine body|leiomyoma of body of uterus|fibroid of uterine body|leiomyoma of uterine body|fibroid of the uterine body|uterine corpus fibroid|uterine corpus leiomyoma|body of uterus fibroid|leiomyoma of corpus uteri|corpus uteri leiomyoma|leiomyoma of the uterine corpus|uterine corpus leiomyomata|fibroid of corpus uteri|uterine fibroid|corpus uteri fibroid|fibroid of body of uterus|leiomyoma of the corpus uteri|uterine body fibroid|fibroid of the body of uterus|plexiform leiomyoma|fibroid of the uterine corpus|leiomyoma of uterine corpus|uterine leiomyoma|UL|uterus fibroma|leiomyoma, uterine","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000731', 'name': 'EFO_0000731'}}",name_match,Genetic/Congenital|Musculoskeletal|Reproductive/Breast|Cancer/Tumor
