gene_symbol,adj.P.Val,logfc_dz
PCDHB16,1.78465777906684e-08,1.20319427274254
CENPS,2.61926709237843e-14,1.20297871736525
SLC16A14,1.04102501022865e-13,1.20274242474872
TIGD2,5.59323329510861e-11,1.20219002253776
MND1,4.80295898792934e-08,1.20076997825502
ABCE1,1.44050145943389e-11,1.20037809011927
GSKIP,2.4261658517243e-12,1.20025692562981
RDH11,1.73344813106284e-15,1.19990882274023
DSG2,1.36640319617425e-11,1.19881406568211
TOGARAM1,1.00301537474464e-11,1.19873842923153
ZBTB41,3.23374316060776e-13,1.19871560377737
DOCK4,5.97547892023577e-10,1.19696538369953
SERTAD2,6.07390585450389e-13,1.19651189126996
ATP23,1.56036253827235e-12,1.19589366953102
SLC19A2,6.5808642483024e-11,1.19445123231684
ST6GAL2,1.84526470277801e-10,1.19279072140225
EIF3E,1.15038055085782e-11,1.19204116494711
TDP2,2.33699637848519e-11,1.19162432499882
C2orf76,3.32894954738986e-13,1.19118893135473
PSD3,2.05503873999351e-15,1.19086001033471
JKAMP,4.23480477196982e-14,1.19046610063561
ZNF521,2.07332236049946e-10,1.18914856288912
TTC33,6.34912465327691e-15,1.18845101812144
FBN2,1.99538960706476e-05,1.18817784506539
CPSF3,3.53682558838843e-17,1.18763196594339
C9orf135,2.72619881282024e-12,1.1866618538542
MDM1,8.88651366901725e-15,1.18644192112035
KLHL5,5.06683406395254e-12,1.18588337208552
EPB41L3,2.36824500648488e-11,1.18587941676458
TMEM87B,2.11754411483493e-13,1.18506282548974
KIN,3.31154527611214e-17,1.18468884473175
CBX3,1.93963745813402e-11,1.18440886748595
PSMA5,2.04902627091856e-18,1.18436999527853
EIF2AK4,1.49763118997333e-14,1.18377477321451
DCAF13,9.6072561661315e-13,1.18369232358567
RPS6KC1,5.41463155405582e-11,1.18342860624863
GNL2,1.10683861116671e-09,1.18333390071884
C1orf131,2.02020369495123e-15,1.18310870750883
CHCHD3,4.66701193422529e-14,1.18260476582424
KLHL8,3.7448841366847e-14,1.18181297782414
LSM5,8.35366078520048e-15,1.18168069052363
MIS12,2.5553027262824e-13,1.18166061004336
EI24,1.20925275050881e-18,1.18161673928498
SPC25,2.13237556034277e-06,1.18023105640948
CCNYL1,5.10819085918525e-18,1.17943289181931
UTP20,1.32053695044467e-16,1.17909879975191
DNAJC10,8.80535325949694e-09,1.17873665604634
FEM1C,1.2882407115889e-12,1.17800802139059
BLOC1S2,2.0178635225783e-13,1.17743892198475
FASTKD3,1.16612175999729e-12,1.17620542933218
TADA1,1.79182305671095e-14,1.1748024447288
POGLUT2,1.17263016423199e-18,1.17398643777621
IL13RA1,4.53917299647647e-15,1.17337131181408
HERPUD2,9.54976790144168e-13,1.17333712538449
IFIT1,2.70316613024755e-08,1.1727925306007
ATP5PB,2.07305752790614e-11,1.17174264449042
KDSR,1.21203227796371e-15,1.17159615628005
CCNA2,4.0552990976121e-07,1.17054459341779
GON7,1.09273335593136e-10,1.17003620334485
QTRT2,7.76543017408339e-17,1.16985957748946
CASP8AP2,1.22820523504277e-12,1.16900250072662
KCTD18,1.69521674306932e-11,1.16875060007368
IFIT3,6.90898999695702e-12,1.1686083638863
TSPAN6,3.73183931446702e-09,1.16846584738017
LIMCH1,5.76203251821097e-12,1.16839300666255
MAP4K3,7.62182148784914e-09,1.16826983467016
C3orf38,4.30888051011652e-17,1.16798189110865
PTER,1.44611417568953e-12,1.16657721625186
RAB23,8.71081800211888e-13,1.16430996543355
TMEM69,1.29171045289046e-12,1.16429691103879
ZUP1,2.73912112729768e-13,1.16329182430107
KATNA1,6.57462643826083e-16,1.1632214672835
BCAS2,9.97225952779812e-14,1.16185221093335
SCPEP1,2.64670099486072e-18,1.16137210831111
ASNSD1,2.95678320640605e-12,1.16122417777388
EED,1.57827902817567e-14,1.16082317197108
LINC00888,2.28029142112034e-20,1.1607392596733
MOB1B,7.45640124749595e-10,1.16059322145477
ZFP1,1.06635634459304e-15,1.1605237703228
MTIF3,1.10815672010086e-13,1.16029678154571
