gene_symbol,logfc_dz,mean_logfc,median_logfc,P.Value,adj.P.Val,AveExpr,t,B,probe.id,signature_type
TRAJ28,1.15747160231294,1.15747160231294,1.15747160231294,3.56572209688056e-06,4.27135973289482e-05,8.57551617133262,-5.48996386160741,4.31273172304109,28727_at,UP
LOC102724929,1.15547553545082,1.15547553545082,1.15547553545082,7.47862645354136e-08,4.89431898640068e-06,5.54869838302038,-6.76417554326344,8.05290758245278,102724929_at,UP
ADCY8,1.15529555004222,1.15529555004222,1.15529555004222,1.35040699308332e-07,6.500976797716e-06,5.09358195263245,-6.56770749828756,7.48072478689515,114_at,UP
USP5,1.15492750288439,1.15492750288439,1.15492750288439,3.31032174498976e-10,2.11901970701157e-07,7.81081512664399,-8.62626161974868,13.2872066815236,8078_at,UP
FAM167B,1.15475670577728,1.15475670577728,1.15475670577728,2.73074540138519e-05,0.000160414650995,7.75831370993832,-4.81913041220763,2.34945886256946,84734_at,UP
RHOD,1.15428284334646,1.15428284334646,1.15428284334646,5.33558261859653e-08,4.03299167377606e-06,8.4063619889639,-6.87685634229912,8.37979165449853,29984_at,UP
CTXN1,1.15315399998923,1.15315399998923,1.15315399998923,4.31469200988235e-05,0.0002236390463826,7.2849702621433,-4.66704687661093,1.90978213707662,404217_at,UP
TNFSF12,1.15177588806707,1.15177588806707,1.15177588806707,6.72377224501696e-06,6.27586495175147e-05,7.66944872800581,-5.28162474048569,3.70011813051695,8742_at,UP
MCHR2-AS1,1.15016190539751,1.15016190539751,1.15016190539751,1.37035160182822e-06,2.29970404614163e-05,6.71263988855357,-5.80381601423801,5.23742405159851,728012_at,UP
SEZ6,1.14948758858569,1.14948758858569,1.14948758858569,5.22833310899787e-10,2.61212622938323e-07,6.24206665003256,-8.46394145288049,12.8474085343561,124925_at,UP
GADD45B,1.14929311487928,1.14929311487928,1.14929311487928,0.0055770569112693,0.0102882235023813,8.24297028245454,-2.95271653509975,-2.68599534404033,4616_at,UP
LINC01676,1.1486656158567,1.1486656158567,1.1486656158567,6.98677599944174e-06,6.40918582949237e-05,6.26835953894307,-5.26900954131419,3.66308160924395,101928476_at,UP
CYP2A13,1.14662412658801,1.14662412658801,1.14662412658801,2.60087657139414e-07,9.0293727750755e-06,6.9160998759199,-6.35075263936727,6.84604283206189,1553_at,UP
PRR12,1.14627965059744,1.14627965059744,1.14627965059744,3.96974954276852e-05,0.0002106641182229,7.93617255754834,-4.69480385971654,1.98981563179988,57479_at,UP
SBNO2,1.14311201095895,1.14311201095895,1.14311201095895,4.99567988724928e-06,5.27754032028954e-05,8.04330875003463,-5.37924384842878,3.98696129035692,22904_at,UP
CD33,1.1429537008598,1.1429537008598,1.1429537008598,2.66203280815684e-07,9.13384925331403e-06,5.82140703080158,-6.3430757104338,6.82353787879551,945_at,UP
GIPC1,1.14264571943769,1.14264571943769,1.14264571943769,4.93867480396175e-09,1.01163814684353e-06,9.77289762400865,-7.68199119256262,10.6815938696907,10755_at,UP
IRX5,1.14175004614414,1.14175004614414,1.14175004614414,0.0012282535432473,0.0029194181457274,5.97109255692519,-3.51544190525204,-1.27763924156589,10265_at,UP
ASPDH,1.14060588794855,1.14060588794855,1.14060588794855,5.13143850535108e-07,1.31719782385478e-05,6.84229333024491,-6.12667601565331,6.18809341731505,554235_at,UP
TLCD3B,1.14011931799989,1.14011931799989,1.14011931799989,2.65302803474438e-06,3.54475835839695e-05,5.80649387867463,-5.58700065689553,4.5985064487374,83723_at,UP
INKA1,1.14000235370014,1.14000235370014,1.14000235370014,6.47065160795895e-07,1.49937587712026e-05,7.18234123114563,-6.05036694325859,5.96360801107446,389119_at,UP
PLEC,1.13928153896411,1.13928153896411,1.13928153896411,1.48817497554705e-07,6.88430046177377e-06,7.7930814823795,-6.535492920611,7.38665794383138,5339_at,UP
CPNE7,1.13917585867734,1.13917585867734,1.13917585867734,5.9843208541721e-08,4.35610706855752e-06,6.93871596946303,-6.83852696742127,8.26871103768548,27132_at,UP
TTYH3,1.13761557418369,1.13761557418369,1.13761557418369,5.40697407696916e-06,5.52315569535505e-05,9.00400204386562,-5.35325461982857,3.91055512517296,80727_at,UP
KRT86,1.13715346136981,1.13715346136981,1.13715346136981,0.000551774312079,0.0015512688729929,7.44592693155253,-3.79935508628377,-0.522682568010531,3892_at,UP
PLTP,1.13669297304739,1.13669297304739,1.13669297304739,6.74667333486e-05,0.0003106988682357,9.81527260480355,-4.51764668350512,1.4808396985998,5360_at,UP
HSPG2,1.13436689873051,1.13436689873051,1.13436689873051,1.15937339858351e-08,1.5938660870191e-06,9.14258757764639,-7.39085542086459,9.85679527111006,3339_at,UP
HMX1,1.13413198351142,1.13413198351142,1.13413198351142,3.46636424366683e-07,1.05130523583562e-05,7.19001306076969,-6.25593701488335,6.567895547942,3166_at,UP
LAD1,1.13406105991409,1.13406105991409,1.13406105991409,5.61963221201172e-07,1.37859336803411e-05,8.26800776972645,-6.09676159125391,6.10011239721039,3898_at,UP
SCAF1,1.13382848000092,1.13382848000092,1.13382848000092,1.59879199001963e-07,7.10404666454707e-06,6.48137568052709,-6.51173076468662,7.3172310620786,58506_at,UP
LINC02753,1.13373550483654,1.13373550483654,1.13373550483654,1.58124850046961e-07,7.05670899425259e-06,4.86790855318516,-6.51538677730451,7.32791522229891,101928443_at,UP
IHH,1.13364496979156,1.13364496979156,1.13364496979156,1.3003567893205e-05,9.64741342717894e-05,7.64888908989845,-5.06447204582878,3.06388439363255,3549_at,UP
EBI3,1.13121410615665,1.13121410615665,1.13121410615665,9.4798615217887e-06,7.84846437605412e-05,5.93555593416292,-5.16861313472329,3.36863853984578,10148_at,UP
GPSM3,1.12896569115019,1.12896569115019,1.12896569115019,1.28548667969259e-07,6.4194917305696e-06,7.45235402486199,-6.5840541968341,7.52843211462928,63940_at,UP
FOLR2,1.12866388120055,1.12866388120055,1.12866388120055,1.65981510552781e-05,0.0001138776692141,8.27331989124046,-4.98391519711518,2.8287047285465,2350_at,UP
DUOXA2,1.12678079375401,1.12678079375401,1.12678079375401,1.25566683222306e-06,2.17975249078451e-05,6.42098185918303,-5.83251105568811,5.32198467738287,405753_at,UP
LINC01913,1.1257126816154,1.1257126816154,1.1257126816154,0.0009677449670706,0.0024160009634947,6.59962016129222,-3.60081898473701,-1.0533351759908,388942_at,UP
SSC5D,1.12552766373307,1.12552766373307,1.12552766373307,5.26281826169085e-05,0.0002604580074232,6.98655648175775,-4.60076418283777,1.71908316320578,284297_at,UP
JSRP1,1.12404746661245,1.12404746661245,1.12404746661245,1.36038486440099e-06,2.29162200348602e-05,6.00412117386674,-5.8062124676214,5.24448629984477,126306_at,UP
PDZD7,1.12403043484806,1.12403043484806,1.12403043484806,2.26001493272469e-09,6.90957401222874e-07,6.39022306271709,-7.9514391578079,11.4363901148695,79955_at,UP
B3GNT8,1.12356655816048,1.12356655816048,1.12356655816048,5.60672808243951e-07,1.37707695492435e-05,6.47469927869495,-6.09751817058331,6.10233791267737,374907_at,UP
MLXIPL,1.12315554465115,1.12315554465115,1.12315554465115,9.21019748277936e-08,5.36501550090468e-06,6.96467952933705,-6.69483263875358,7.85126631584827,51085_at,UP
SNAPC2,1.12126100350319,1.12126100350319,1.12126100350319,5.80461831554256e-06,5.77042926544246e-05,7.27741050130225,-5.32993840020194,3.84203079402476,6618_at,UP
COL6A1,1.12116150401836,1.12116150401836,1.12116150401836,1.52270185942173e-07,6.95587928173296e-06,8.03564918187407,-6.52789025466164,7.36444867044666,1291_at,UP
WNT8B,1.12071725641913,1.12071725641913,1.12071725641913,3.21840874129191e-07,1.01580715957817e-05,6.27628916172243,-6.2804207087583,6.6397592533586,7479_at,UP
PAK4,1.1183642806169,1.1183642806169,1.1183642806169,3.03124078296309e-09,8.06388781795012e-07,7.96249344559392,-7.8499146188679,11.1529977177325,10298_at,UP
