"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"284309_at",1.17872009934724,7.72309520658415,6.32868251392703,7.68320906170339e-08,2.39620667509032e-07,7.70870561693769,"284309_at","ZNF776"
"64754_at",1.17868025705866,8.34108515125837,9.70019713708374,6.35527933771058e-13,2.09305559344209e-11,19.2597145792723,"64754_at","SMYD3"
"84792_at",1.17863463247892,9.41725978730533,8.21768828343349,9.8718419098906e-11,9.52047126564026e-10,14.2750019549884,"84792_at","FAM220A"
"29089_at",1.17850001326466,8.2109622386081,6.06339089781443,1.96247203543332e-07,5.49020447607431e-07,6.78705218358445,"29089_at","UBE2T"
"51095_at",1.17848761954386,6.51250256596032,9.2846941825812,2.55378825068999e-12,5.74854928869603e-11,17.8859489804707,"51095_at","TRNT1"
"79631_at",1.17841166122149,7.67388674035016,8.99714151909624,6.762086137407e-12,1.18613743338416e-10,16.9239246892315,"79631_at","EFL1"
"9792_at",1.1779692189228,7.47000104218531,7.77365655250822,4.65233959127541e-10,3.20331173740119e-09,12.7436745310588,"9792_at","SERTAD2"
"55679_at",-1.17783979997011,7.48803701918349,-10.1842107430504,1.28986711421196e-13,6.74731101054443e-12,20.83404919889,"55679_at","LIMS2"
"56647_at",1.17783140728517,7.63069974775045,10.0844252329959,1.78783747873157e-13,8.57659553028979e-12,20.5118445483326,"56647_at","BCCIP"
"100131556_at",1.17759523493707,9.87225969830792,6.77516446903833,1.57948570890221e-08,6.06110626848126e-08,9.26603184405631,"100131556_at","ZCRB1P1"
"26065_at",1.17722230443017,9.09403612669042,6.43282824533973,5.31361325960476e-08,1.72878103573291e-07,8.07147255953677,"26065_at","LSM14A"
"50650_at",1.17704721215036,8.34090301993783,6.55447077588317,3.45316933952672e-08,1.188781106152e-07,8.49565369403635,"50650_at","ARHGEF3"
"28957_at",1.17701770494555,8.61690352109555,8.72953146882206,1.68656749399153e-11,2.40918051233769e-10,16.0208847421961,"28957_at","MRPS28"
"84620_at",1.17638592398699,6.45185389558266,6.49772406104674,4.2222691434469e-08,1.41738710479132e-07,8.29771812159218,"84620_at","ST6GAL2"
"22950_at",1.1763810816055,8.10712551809099,8.72313958609858,1.72393994039478e-11,2.45101064345262e-10,15.9992288602893,"22950_at","SLC4A1AP"
"4236_at",1.17636813302871,8.90531298802541,8.57106407709636,2.90726972003596e-11,3.68974677479657e-10,15.4828510700006,"4236_at","MFAP1"
"2589_at",1.17618999601461,8.98202707458206,7.39949717365116,1.73491581180674e-09,9.43654155311984e-09,11.444257502389,"2589_at","GALNT1"
"51162_at",-1.17614835447394,7.74969158182124,-5.69569886827886,7.15265913523669e-07,1.72838350508657e-06,5.51834061433218,"51162_at","EGFL7"
"9324_at",1.17606043041203,10.9097169488418,7.89521974274146,3.03905751106361e-10,2.28878124621441e-09,13.1642274697999,"9324_at","HMGN3"
"8027_at",1.17599401236933,8.38434675092986,7.34005272776304,2.1398127912938e-09,1.12216910437435e-08,11.2372490522697,"8027_at","STAM"
"7596_at",1.17566200221083,6.75121818731555,9.15416486626242,3.96893278370781e-12,7.90083762307783e-11,17.4503596749069,"7596_at","ZNF45"
"9354_at",1.17556301060139,9.61369696143582,6.44244470034965,5.13566594547278e-08,1.67811036625797e-07,8.10498970321497,"9354_at","UBE4A"
